recno,Name,B-V,Nobs,S,logRHK,Prot,logA,sRV1,sRV2,OCat,SimbadName,_RA,_DE
666,224022,0.572,9,0.147,-5.06,,9.89,2.3,2.7,1,"HD 224022 ",358.66092,-40.30006
7,798,0.448,6,0.157,-4.97,5,9.78,2.4,3.0,0,"HD 798    ",3.054,-27.78454
14,2222,0.675,7,0.139,-5.16,,9.97,2.1,2.2,0,"HD 2222   ",6.49291,-28.27349
8,1002,0.64,4,0.143,-5.12,,9.92,2.2,2.4,0,"HD 1002   ",3.58418,-27.53143
664,223957,0.607,4,0.205,-4.76,14,9.42,3.3,4.3,0,"HD 223957 ",358.48814,-30.35703
670,224433,0.748,5,0.167,-4.99,38,9.8,2.2,2.1,0,"HD 224433 ",359.45892,-30.44794
2,225155,0.741,4,0.15,-5.08,,9.91,2.1,2.2,0,"HD 225155 ",0.97231,-28.39381
667,224143,0.64,5,0.278,-4.56,11,8.95,4.6,11.9,1,"HD 224143 ",358.89571,-20.95324
19,4631,0.774,7,0.159,-5.04,,9.86,2.1,2.1,0,"HD 4631   ",12.01541,-25.07916
24,6156,0.8,5,0.355,-4.54,17,8.9,3.0,8.0,2,"HD 6156   ",15.61554,-21.61058
37,8129,0.702,4,0.18,-4.91,29,9.7,2.2,2.1,1,"HD 8129   ",20.12526,-19.94901
31,7399,0.476,8,0.134,-5.17,,9.99,2.1,3.0,0,"HD 7399   ",18.46395,-20.51325
657,221257,0.636,3,0.166,-4.96,23,9.76,2.6,2.4,0,"HD 221257 ",352.66728,-24.19607
661,222422,0.731,4,0.237,-4.72,23,9.35,2.5,4.9,1,"HD 222422 ",355.15772,-18.98889
650,220689,0.603,5,0.159,-4.99,20,9.81,2.5,2.5,0,"HD 220689 ",351.4708,-20.61603
6,361,0.624,6,0.195,-4.81,17,9.52,3.1,4.6,1,"HD 361    ",2.06818,-14.82449
43,9847,0.712,5,0.14,-5.15,,9.97,2.0,2.5,0,"HD 9847   ",23.97114,-17.53247
39,8406,0.656,4,0.162,-4.98,27,9.8,2.5,2.3,1,"HD 8406   ",20.75364,-16.48746
53,10700,0.727,127,0.16,-5.02,,9.84,2.1,2.1,3,"HD 10700  ",26.01701,-15.93748
42,9782,0.593,7,0.141,-5.12,,9.93,2.2,2.6,2,"HD 9782   ",23.85962,-13.38103
47,10226,0.607,3,0.176,-4.89,18,9.66,2.8,2.5,0,"HD 10226  ",24.9775,-9.97224
30,7134,0.589,6,0.151,-5.04,,9.87,2.4,2.6,0,"HD 7134   ",17.88367,-12.84308
33,7661,0.753,4,0.397,-4.43,10,8.59,3.3,13.4,3,"HD 7661   ",19.10082,-12.097
46,10008,0.797,3,0.421,-4.45,11,8.62,3.4,11.3,1,"HD 10008  ",24.39778,-6.76043
32,7449,0.575,8,0.168,-4.92,15,9.71,2.7,2.6,1,"HD 7449   ",18.62217,-5.04739
