recno,Name,RAJ2000,DEJ2000,Age5,Age10,Age25,Age50,Age75,Age90,Age95
1,HIP 544,1.653333333333333,29.021388888888886,192,208,237,272,311,356,421
2,HIP 560,1.7087499999999998,-23.107499999999998,17,18,19,21,22,24,27
3,HIP 682,2.107083333333333,6.616666666666665,21,43,108,217,343,498,725
4,HIP 919,2.843333333333333,30.449444444444442,205,221,251,287,326,372,436
5,HIP 1134,3.5429166666666663,-7.199166666666666,21,23,26,30,37,45,56
6,HD 1405,4.587083333333332,30.956111111111106,109,115,122,129,136,142,146
7,HIP 1481,4.60875,-63.47749999999999,13,17,23,30,33,37,41
8,FK Psc,5.894583333333332,20.241388888888885,19,20,194,300,389,455,510
9,HIP 2729,8.713333333333333,-61.9161111111111,13,17,23,30,33,37,40
10,HIP 3589,11.462083333333332,54.97777777777777,111,115,122,129,137,143,148
11,HIP 4907,15.738333333333332,69.22694444444444,686,732,812,912,1030,1160,1320
12,HIP 4979,15.954166666666664,1.3669444444444443,152,304,766,1530,2300,2760,2920
13,HIP 5191,16.609166666666663,-14.296388888888886,113,117,123,130,138,146,168
14,HIP 5944,19.122083333333332,42.93944444444444,323,346,388,440,500,572,668
15,HIP 6869,22.101666666666663,17.079166666666666,787,876,1040,1240,1510,1880,2500
16,HIP 6878,22.14333333333333,42.26777777777777,226,255,304,367,458,660,2870
17,HIP 7235,23.31583333333333,-24.178055555555552,1340,1500,1810,2200,2680,3240,3740
18,HIP 7345,23.657499999999995,-15.676388888888887,62,124,313,625,938,1130,1200
19,HS Psc,24.346666666666664,26.95333333333333,111,116,122,130,137,144,149
20,HIP 7576,24.397916666666664,-6.7605555555555545,17,18,19,21,22,24,29
21,HIP 9141,29.454166666666662,-21.901388888888885,13,17,23,30,34,38,50
22,HIP 9291,29.847916666666663,58.521111111111104,21,23,27,33,47,304,561
23,HIP 9685,31.146249999999995,-54.88166666666666,13,17,23,30,34,38,46
24,HIP 10679,34.352916666666665,28.741666666666664,17,18,19,21,22,24,26
25,HIP 11072,35.635416666666664,-23.816388888888884,1820,2000,2340,2770,3280,3860,4330
26,HIP 11360,36.567499999999995,6.2924999999999995,22,24,27,32,41,1610,3220
27,BD+30 397B,36.86666666666666,30.978055555555553,17,18,19,21,22,24,26
