recno,Name,n_Name,OName,SpType,Dist,Ksmag,Age,r_Age,F24,F24/F,F70,e_F70,F70/F,chi,l_Lum,Lum,Ref,_RA,_DE
1,"HD 142    ","c,d","        ",F7 V,25.6,4.47,5.4,"1, 2, 3",125.0,1.07,26.7,2.2,2.1,6.0," ",0.8,"1 ",1.5799,-49.07519
2,"HD 1237   ","c  ","        ",G6 V,17.6,4.86,0.3,"1, 3, 4",84.1,1.03,11.2,2.5,1.3,0.9,<,1.0,"1 ",4.05282,-79.85118
3,"HD 3651   ","   ","54 Psc  ",K0 V,11.1,4.0,6.2,"1, 5, 6",195.0,1.08,15.7,5.6,0.8,-0.7,<,1.1,2a,9.84086,21.25047
4,"HD 4203   ","   ","        ",G5,77.8,7.05,9.7,5,,,0.8,8.4,0.7,0.0,<,23.9,2b,11.17167,20.44893
5,"HD 4208   ","   ","        ",G5 V,32.7,6.16,5.3,"1, 4, 5",,,3.0,2.6,1.1,0.1,<,2.9,2b,11.11105,-26.51568
6,"HD 4308   ","   ","        ",G5 V,21.9,4.95,4.0,1,77.3,1.02,4.6,4.4,0.6,-0.8,<,1.5,2c,11.16361,-65.64952
7,"HD 6434   ","   ","        ",G2/3 V,40.3,6.19,0.2,7,24.5,1.02,4.2,3.8,1.6,0.4,<,3.7,"3 ",16.16729,-39.48822
8,"HD 8574   ","   ","        ",F8,44.1,5.78,7.9,5,34.9,1.0,2.8,2.2,0.7,-0.4,<,1.5,2a,21.30215,28.56669
9,"HD 9826   ","c  ","ups And ",G0,13.5,2.86,6.7,"5, 6",538.0,1.02,54.8,5.1,1.0,-0.4,<,0.3,2a,24.19934,41.40546
10,"HD 10647  ","d,e","        ",F8 V,17.4,4.34,2.0,2,197.0,1.38,878.0,13.6,56.7,63.0," ",42.2,2a,25.62215,-53.74083
11,"HD 10697  ","   ","109 Psc ",G5,32.6,4.6,8.1,5,102.0,0.98,1.0,4.7,0.1,-2.1,<,1.3,2a,26.2326,20.08315
12,"HD 11964  ","c  ","        ",G8 IV,34.0,4.49,9.8,"1, 5",,,3.8,3.8,0.3,-2.2,<,1.0,2b,29.29003,-10.24243
13,"HD 12661  ","   ","        ",K0,37.2,5.86,8.3,3,32.5,1.0,14.2,7.1,4.0,1.5,<,6.5,2d,31.14287,25.41431
14,"HD 13445  ","c  ","        ",K1 V,10.9,4.12,2.8,"1, 2, 4, 7",166.0,1.03,5.5,6.8,0.3,-1.7,<,1.5,"1 ",32.60806,-50.82373
15,"HD 16141  ","c  ","        ",G8 IV,35.9,5.27,8.1,3,57.3,1.02,12.8,5.0,2.1,1.3,<,2.6,2d,38.83303,-3.56061
16,"HD 17051  ","   ","iot Hor ",G0 V,17.2,4.14,0.9,"1, 2, 3, 4, 7",170.0,1.07,22.4,3.1,1.3,1.6,<,0.5,"1 ",40.63944,-50.80029
17,"HD 19994  ","c,d","94 Cet  ",G0 V,22.4,3.75,6.2,"1, 3, 5, 8",245.0,1.02,42.5,3.8,1.6,3.9," ",0.5,2a,48.19349,-1.1961
18,"HD 20367  ","   ","        ",G0,27.1,5.04,0.6,5,67.7,0.98,9.3,3.4,1.2,0.5,<,1.1,2a,49.41686,31.12704
19,"HD 20782  ","c  ","        ",G3 V,36.0,5.83,4.7,"1, 2, 4",,,3.5,2.8,1.0,0.0,<,2.1,2b,50.01491,-28.85407
20,"HD 22049  ","d,e","eps Eri ",K2 V,3.2,1.78,0.8,9,2040.0,1.18,1688.0,10.0,9.0,90.9," ",10.7,"4 ",53.23269,-9.45826
21,"HD 23079  ","   ","        ",F8/G0 V,34.6,5.71,5.8,"1, 2, 3, 4",37.4,1.0,5.4,1.5,1.3,0.9,<,0.9,2a,54.92957,-52.91584
22,"HD 23127  ","   ","        ",G2 V,89.1,7.09,6.6,2,,,-3.0,2.7,-2.6,-1.5,<,7.3,2b,54.8485,-60.07784
23,"HD 23596  ","   ","        ",F8,52.0,5.87,7.7,5,33.7,1.05,3.3,4.1,0.9,-0.1,<,3.1,2a,57.00156,40.53063
24,"HD 27442  ","c  ","eps Ret ",K2 IV,18.2,1.75,10.9,"2, 3",1174.0,0.98,136.0,5.8,1.0,0.6,<,0.3,"1 ",64.12095,-59.30216
26,"HD 28185  ","   ","        ",G5/6 V,39.6,6.18,6.3,"1, 3",23.4,0.97,1.1,4.7,0.4,-0.3,<,5.7,2a,66.60968,-10.55081
27,"HD 30177  ","   ","        ",G8 V,54.7,6.71,8.1,2,,,0.9,5.0,0.6,-0.1,<,11.2,2b,70.47655,-58.02076
28,"HD 33283  ","   ","        ",G3/5 V,86.9,6.65,5.0,13,,,7.9,3.1,4.6,2.0,<,4.9,2b,77.00422,-26.79747
29,"HD 33564  ","   ","        ",F7 V,21.0,3.91,5.7,1,196.0,1.0,24.0,5.0,1.1,0.5,<,0.5,2a,80.63972,79.23115
30,"HD 33636  ","d,f","        ",G1/2 V,28.7,5.57,4.0,"1, 3, 5",42.8,1.01,35.4,2.3,7.7,13.4," ",5.8,"1 ",77.94353,4.40354
31,"HD 37124  ","   ","        ",G0,33.2,5.95,4.8,5,,,2.8,7.7,0.9,-0.1,<,7.2,2b,84.26036,20.73079
33,"HD 38529  ","c,d","        ",G4 IV,42.4,4.21,5.8,5,151.0,1.02,64.6,6.9,4.0,6.9," ",3.2,"3 ",86.64547,1.16819
34,"HD 39091  ","   ","        ",G1 V,18.2,4.24,5.3,"1, 3, 4",142.0,0.98,23.4,2.9,1.5,2.5,<,0.5,"1 ",84.29122,-80.46912
35,"HD 39091  ","   ","        ",G1 V,18.2,4.24,5.3,"1, 3, 4",142.0,0.98,23.4,2.9,1.5,2.5,<,0.5,"3 ",84.29122,-80.46912
36,"HD 40307  ","   ","        ",K3 V,12.8,4.79,7.3,1,89.8,1.04,17.9,4.8,1.9,1.8,<,2.3,2c,88.51767,-60.02347
37,"HD 40979  ","c  ","        ",F8,33.3,5.45,1.4,5,48.4,1.02,14.0,3.5,2.7,2.5,<,1.6,2a,91.12476,44.26044
38,"HD 41004A ","c  ","        ",K1 V,43.0,6.43,1.6,4,,,3.9,3.7,1.9,0.5,<,6.9,2b,89.95704,-48.23986
39,"HD 45350  ","   ","        ",G5,49.0,6.22,8.4,5,,,-0.9,5.5,-0.3,-0.6,<,7.2,2b,97.19046,38.96296
40,"HD 46375  ","c  ","        ",K0 V,33.4,6.0,6.9,"1, 5",,,316.6,194.5,102.2,1.6,<,252.3,2b,98.30259,5.46292
41,"HD 49674  ","   ","        ",G0,40.7,6.43,3.2,5,,,3.8,2.9,1.8,0.6,<,4.5,2b,102.87714,40.86776
42,"HD 50499  ","   ","        ",G0/2 V,47.3,5.84,7.4,"4, 5",,,7.5,2.9,2.1,1.3,<,2.2,2b,103.00844,-33.91556
43,"HD 50554  ","d  ","        ",F8,31.0,5.47,5.7,3,47.6,1.02,42.4,3.8,8.4,9.7," ",6.0,"1 ",103.67844,24.24556
44,"HD 52265  ","d  ","        ",G0 V,28.1,4.95,6.4,"3, 5",75.1,1.0,38.3,5.7,4.7,5.3," ",3.0,"1 ",105.07515,-5.36716
45,"HD 63454  ","   ","        ",K4 V,35.8,7.0,0.7,1,,,-0.3,4.0,-0.2,-0.4,<,16.0,2b,114.84104,-78.27897
46,"HD 65216  ","c  ","        ",G5 V,35.6,6.33,5.1,1,,,4.7,3.3,2.1,0.7,<,4.4,2b,118.42217,-63.64732
47,"HD 66428  ","   ","        ",G8 IV,55.0,6.66,8.1,5,,,1.8,5.7,1.1,0.0,<,10.7,2b,120.86944,-1.16271
