recno,Star,BJD,RV,e_RV
1,GL433,2451634.67328,0.38,0.9
2,GL433,2451634.67803,-1.8,0.9
3,GL433,2451634.68277,1.19,0.94
4,GL433,2451654.49573,0.24,0.82
5,GL433,2451654.50061,0.9,0.86
6,GL433,2451654.50532,0.34,0.91
7,GL433,2451682.55321,-6.22,1.11
8,GL433,2451682.55807,-2.53,1.45
9,GL433,2451682.56302,-6.08,2.04
10,GL433,2451688.49066,-4.34,0.91
11,GL433,2451688.49549,-5.47,0.94
12,GL433,2451688.50032,-3.49,0.9
13,GL433,2451707.56575,2.35,1.05
14,GL433,2451707.57063,2.74,1.2
15,GL433,2451707.57533,1.8,1.14
16,GL433,2451737.47642,4.63,1.17
17,GL433,2451737.48124,7.36,1.29
18,GL433,2451737.48598,4.17,1.26
19,GL433,2451740.47281,1.79,0.97
20,GL433,2451740.47763,2.25,0.88
21,GL433,2451740.48237,4.68,0.98
22,GL433,2451761.52361,-3.86,1.21
23,GL433,2451761.52807,-2.45,1.28
24,GL433,2451762.48384,-4.46,1.06
25,GL433,2451762.48858,-6.97,1.22
26,GL433,2451762.49366,-7.03,1.23
27,GL433,2451916.81492,-3.07,0.96
28,GL433,2451916.81975,-1.41,1.01
29,GL433,2451916.82446,0.93,0.95
30,GL433,2451946.77336,2.03,0.91
31,GL433,2451946.77816,1.84,0.97
32,GL433,2451946.7829,-0.75,0.83
33,GL433,2452266.83139,0.12,0.87
34,GL433,2452266.8362,2.52,0.88
35,GL433,2452266.84094,0.74,0.9
36,GL433,2452317.65327,5.66,0.84
37,GL433,2452317.65802,4.39,0.84
38,GL433,2452317.66273,6.93,0.84
39,GL433,2452327.66176,-2.98,0.94
40,GL433,2452327.66651,-2.71,0.87
41,GL433,2452327.67127,-4.29,0.87
42,GL433,2452424.50259,-1.53,1.17
43,GL433,2452424.50615,-0.49,1.07
44,GL433,2452424.50966,1.19,1.13
45,GL433,2452425.58549,1.25,1.58
46,GL433,2452425.58898,-5.57,1.46
47,GL433,2452425.59259,-6.0,1.37
48,GL433,2452438.47753,-0.99,1.05
49,GL433,2452438.48112,-1.32,1.04
50,GL433,2452438.48464,-0.3,1.09
51,GL433,2452613.82875,1.84,1.21
52,GL433,2452613.83229,1.3,1.29
53,GL433,2452613.83587,1.62,1.49
54,GL433,2452615.79653,-0.95,1.26
55,GL433,2452615.80005,-2.21,1.13
56,GL433,2452615.80364,-3.05,1.16
57,GL433,2452618.83946,-3.91,1.31
58,GL433,2452618.84302,-2.13,1.38
59,GL433,2452618.84654,-2.54,1.25
60,GL433,2452632.83651,-4.79,1.19
61,GL433,2452632.84003,-3.18,1.28
62,GL433,2452632.8436,-4.13,1.23
63,GL433,2452708.59582,0.0,1.48
64,GL433,2452708.59918,0.74,1.38
65,GL433,2452708.60254,-1.21,1.37
66,GL433,2452709.62359,3.4,1.22
67,GL433,2452709.62692,5.63,1.07
68,GL433,2452709.63035,0.75,1.12
69,GL433,2452744.48549,1.13,1.07
70,GL433,2452744.48887,1.36,1.01
71,GL433,2452744.49224,2.06,0.97
72,GL433,2452761.49128,0.24,1.21
73,GL433,2452761.49462,-0.28,1.35
74,GL433,2452761.49802,1.14,1.12
75,GL433,2453072.86104,-0.66,1.16
76,GL433,2453072.86456,-1.61,1.13
77,GL433,2453072.86819,-2.01,1.15
78,GL433,2453076.71659,2.68,0.99
79,GL433,2453076.72013,3.66,1.1
80,GL433,2453076.7237,2.13,1.05
81,GL433,2453088.81095,-4.19,0.93
82,GL433,2453088.81455,-5.78,1.04
83,GL433,2453088.81809,-4.53,0.99
84,GL433,2453090.83115,0.26,1.37
85,GL433,2453090.83465,-0.64,1.37
86,GL433,2453090.83831,-1.74,1.66
87,GL433,2453095.83449,0.73,1.48
88,GL433,2453095.84243,0.17,1.53
89,GL433,2453095.84605,3.75,1.52
90,GL433,2453098.73917,-1.59,1.02
91,GL433,2453098.74273,-5.13,1.08
92,GL433,2453098.74629,-2.37,1.07
93,GL433,2453112.54094,-7.91,1.04
94,GL433,2453112.54443,-2.04,1.09
95,GL433,2453112.54797,-3.3,1.17
96,GL433,2453126.49569,-6.43,1.55
97,GL433,2453126.49924,-3.5,1.28
98,GL433,2453126.50269,-6.76,1.25
99,GL433,2453354.80356,-2.16,1.5
100,GL433,2453354.80699,-3.66,1.56
101,GL433,2453354.81058,-1.89,1.66
102,GL433,2453395.83084,2.58,1.12
