recno,Star,n_Star,RVs,ZName,SpType,Vmag,Nobs,Urms,Vrms,Qdiff,_RA,_DE
1,"HIP56466 "," ",*,"GJ 3671 ",M0,11.2,12,5.6,3.65,4.25,173.65816,-23.87088
2,"HIP82283 "," ",*,"GJ 3973 ",M1.5Vk:,10.94,5,6.8,3.72,5.69,252.1915,-15.73893
3,"HIP63550 "," ",*,"GJ 3759 ",M1V,10.95,11,3.9,3.08,2.39,195.33186,-63.19505
4,"GL433    "," ",*,"GJ 433  ",M1.5,9.79,54,4.4,3.55,2.6,173.86228,-32.53997
5,"HIP55042 "," ",*,"GJ 422  ",M3.5,11.66,15,4.0,3.77,1.34,169.00085,-57.54766
6,HIP104059," ",*,"GJ 817  ",M1,11.48,25,4.9,2.71,4.08,316.22242,-16.95887
7,"GL551    "," ",*,"Proxima ",M5.5Ve,11.05,76,3.6,2.02,2.98,217.42894,-62.67949
8,"GL699    "," ",*,"Barnard ",M4Ve,9.54,75,3.3,2.58,2.06,269.45208,4.69336
9,"HIP86214 "," ",*,"GJ 682  ",M3.5,10.96,20,4.0,3.33,2.22,264.26527,-44.31921
10,"HIP93206 "," ",*,"GJ 739  ",M2,11.14,19,4.4,3.59,2.54,284.78108,-48.27446
11,HIP110534," ",*,"GJ 855  ",M0.5,10.74,22,5.8,5.26,2.44,335.88876,-57.22063
12,HIP104432," ",*,"GJ 821  ",M1,10.87,35,5.0,1.63,4.73,317.32261,-13.30251
13,"HIP22762 "," ",*,"GJ 180  ",M2,12.5,24,3.8,3.11,2.18,73.45825,-17.77342
14,"HIP80268 "," ",*,"GJ 620  ",M0,10.25,5,7.3,4.19,5.98,245.78185,-24.70979
15,"HD225213 "," ",*,"GJ 1    ",M1.5,8.57,24,2.5,2.05,1.43,1.35178,-37.35736
16,"HD42581  "," ",*,"GJ 229  ",M1/M2V,8.14,32,5.5,4.79,2.7,92.64423,-21.86463
17,HIP114411," ",*,"GJ 891  ",M2V,12.2,25,7.5,3.77,6.48,347.5656,-25.93131
18,"HIP47103 "," ",*,"GJ 357  ",M2.5V,10.85,30,5.3,3.35,4.11,144.00682,-21.6608
19,"HIP13389 "," ",*,"GJ 118  ",M2.5,10.7,26,6.5,5.7,3.12,43.09237,-63.67981
20,"HIP19165 "," ",*,GJ 160.2,M0V,9.69,33,8.1,5.44,6.0,61.64517,-20.85312
21,"HIP21556 "," ",*,"GJ 173  ",M1.5,10.35,12,5.3,3.02,4.36,69.42444,-11.03888
22,"HIP27359 "," ",*,"GJ 218  ",M1.5,10.72,9,3.1,2.23,2.15,86.91908,-36.32857
23,"HIP49091 "," ",*,"GJ 377  ",M3,11.44,14,6.7,2.91,6.04,150.29476,-30.39015
24,"HIP65520 "," ",*,"GJ 510  ",M1,11.05,23,5.6,4.02,3.9,201.45353,-28.37399
25,"HIP82256 "," ",*,"GJ 637  ",M0.5,11.36,17,6.4,3.56,5.32,252.10196,-72.97609
26,HIP108569," ",*,"GJ 842  ",M0.5,9.74,17,6.7,2.92,6.03,329.89459,-59.75282
27,HIP117886," ",*,"GJ 911  ",M0V,10.88,17,14.9,3.24,14.5,358.69293,-21.77451
28,"HIP7170  "," ",*,"GJ 3098 ",M1.5Vk:,11.21,9,9.1,5.37,7.35,23.10918,-21.90512
29,"HIP5812  "," ",*,"GJ 3082 ",M0,11.1,10,6.2,5.08,3.55,18.64249,-53.94211
30,"HIP1734  "," ",*,"GJ 1009 ",M1.5,11.16,22,5.3,4.53,2.75,5.48352,-31.40606
31,HIP112452," ",*,"GJ 4293 ",M0.5,10.9,14,8.7,4.78,7.27,341.68805,-63.30147
32,"HIP3143  "," ",*,"GJ 27.1 ",M0.5,11.42,30,6.1,4.27,4.36,9.9951,-44.25322
33,"HIP37978 "," ",*,"GJ 1100 ",M0,11.48,12,9.3,3.78,8.5,116.76287,-13.93866
34,"HIP17766 "," ",*,"HG 7-15 ",M1V,10.85,11,8.7,8.91,1.9,57.04943,7.14624
35,"HIP1276  "," ",*,"GJ 3020 ",M2.5,11.54,13,298.8,330.0,140.0,4.00821,-48.26087
36,"HIP94997 "," ",*,"GJ 4106 ",M2,10.82,5,20.7,28.6,20.0,289.95698,-53.72049
37,"HIP61495 "," ",*,"GJ 477  ",M1,11.08,8,3486.0,3487.7,109.0,188.99332,-45.93902
38,"HIP77349 "," ",*,"GJ 3916 ",M2.5V,11.25,6,2107.7,2211.0,668.0,236.85229,-10.89646
39,"HIP10812 ",a,*,"GJ 1046 ",M2.5+v,11.62,14,1248.0,1245.0,86.0,34.79198,-36.77811
