recno,Name,Teff,logg,[Fe/H],VMAG,u_VMAG,Mass,Age,u_Age,l_EW,EW,l_log[Li],log[Li],RAJ2000,DEJ2000
1,"     SUN",5780,4.44,0.0,4.82," ",1.0,4.6," ",<,3.0," ",1.16,,
2,HD   400,6122,4.13,-0.23,3.59," ",1.2,4.3," "," ",26.9," ",2.25,2.170416666666666,36.627222222222215
3,HD   693,6163,4.11,-0.38,3.53," ",1.18,4.8," "," ",38.2," ",2.44,2.8162499999999997,-15.468055555555553
4,HD  2454,6418,4.09,-0.37,3.26," ",1.32,3.3,:,<,4.0,<,1.6,7.083749999999999,10.18972222222222
5,HD  3454,6056,4.29,-0.59,4.13," ",0.95,9.1," "," ",58.6," ",2.58,9.487499999999999,47.407777777777774
6,HD  3567,6041,4.01,-1.2,4.07,:,0.82,13.7," "," ",45.4," ",2.4,9.632916666666665,-8.309166666666666
7,HD  4614,5806,4.33,-0.31,4.57," ",1.0,8.0," "," ",24.0," ",1.97,12.276249999999997,57.81527777777777
8,HD  4813,6146,4.34,-0.15,4.23," ",1.06,3.8," "," ",71.0," ",2.74,12.531666666666665,-10.644444444444442
9,HD  5750,6223,4.21,-0.44,3.86,:,1.05,6.0," "," ",45.7," ",2.56,14.899166666666664,32.49222222222222
10,HD  6834,6295,4.12,-0.73,3.45," ",1.04,6.3," "," ",10.3," ",1.9,17.39708333333333,39.78111111111111
11,HD  6840,5860,4.03,-0.45,3.71,:,1.07,7.2," "," ",65.8," ",2.5,17.711249999999996,67.77999999999999
12,HD  7439,6419,4.13,-0.32,3.21," ",1.33,2.8,:,<,4.0,<,1.6,18.599999999999998,-7.922777777777776
13,HD  7476,6486,3.91,-0.24,2.49," ",1.42,2.6,:," ",32.8," ",2.58,18.705,-0.9738888888888888
14,HD  9826,6110,4.13,0.09,3.48," ",1.33,3.3," "," ",33.9," ",2.35,24.199166666666663,41.40555555555555
15,HD 10307,5776,4.13,-0.05,4.45," ",0.99,9.1," "," ",19.7," ",1.86,25.446249999999996,42.61333333333333
16,HD 11007,6027,4.2,-0.16,3.61," ",1.18,4.9," "," ",51.7," ",2.5,27.17333333333333,32.69027777777777
17,HD 11592,6232,4.18,-0.41,3.66," ",1.1,5.5," "," ",28.0," ",2.33,28.49041666666666,10.613888888888887
18,HD 13555,6366,4.03,-0.32,2.84," ",1.42,2.8,:," ",71.0," ",2.88,33.20041666666666,21.21111111111111
19,HD 15335,5785,3.92,-0.22,3.45," ",1.09,7.0," "," ",57.9," ",2.39,37.20208333333333,29.93166666666666
20,HD 15798,6385,3.92,-0.25,2.68," ",1.4,2.8,:," ",85.1," ",2.99,38.02166666666666,-15.24472222222222
21,HD 16673,6170,4.35,0.02,4.13," ",1.16,2.2," "," ",112.8," ",3.01,40.05166666666666,-9.452777777777776
22,HD 16895,6219,4.27,-0.02,3.86," ",1.2,2.5," "," ",74.3," ",2.81,41.05,49.228333333333325
24,HD 17820,5750,4.11,-0.69,4.52,:,0.83,16.4," "," ",5.6," ",1.28,42.993333333333325,11.37
25,HD 18768,5695,3.91,-0.62,3.4," ",1.09,6.8," "," ",67.7," ",2.43,45.71791666666666,47.11055555555555
26,HD 19373A,5867,4.01,0.03,3.94," ",1.09,5.7," "," ",51.2," ",2.38,47.26666666666666,49.61333333333333
27,HD 22484,5915,4.03,-0.13,3.61," ",1.08,6.3," "," ",49.1," ",2.39,54.21833333333333,0.4016666666666666
28,HD 22879,5790,4.28,-0.84,4.76," ",0.78,18.8," "," ",7.8," ",1.45,55.09208333333333,-3.216944444444444
29,HD 24339,5810,4.2,-0.67,4.43,:,0.86,14.4," "," ",21.9," ",1.94,57.85041666666666,-25.932499999999997
30,HD 24421,5986,4.1,-0.37,3.81," ",1.03,7.9," "," ",59.7," ",2.54,58.90458333333333,52.226944444444435
31,HD 25173,5867,4.07,-0.62,3.52," ",0.99,7.9," "," ",63.3," ",2.49,61.849999999999994,75.17499999999998
32,HD 25457,6162,4.28,-0.11,3.95," ",1.16,3.5," "," ",104.5," ",2.95,60.652916666666655,-0.26888888888888884
33,HD 25704,5765,4.12,-0.91,4.81," ",0.78,18.7," "," ",21.6," ",1.9,60.43583333333333,-57.20694444444444
34,HD 25998,6147,4.35,-0.11,3.82," ",1.16,4.2," "," ",85.3," ",2.82,62.15249999999999,38.03972222222222
35,HD 28620,6101,4.08,-0.52,3.61," ",1.09,6.1," "," ",38.2," ",2.4,68.07208333333332,37.04333333333333
36,HD 30649,5695,4.24,-0.51,4.58," ",0.88,14.5," ",<,2.0,<,0.8,72.93166666666666,45.83416666666666
37,HD 33256,6385,4.1,-0.3,3.12," ",1.32,3.3,:,<,3.0,<,1.4,77.18208333333332,-4.4561111111111105
38,HD 33632A,5962,4.3,-0.23,4.4," ",1.06,6.0," "," ",52.3," ",2.45,78.32249999999999,37.337222222222216
