recno,HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,_RA,_DE
395,13593,7476,254,4.09,0.14,,,745,972,1106,668,1413,68,163,1679,95,1143,1.58,1.57,1.55,1.5,1.6,68,1.4,1.8,95,1.64,43.78403,3.48687
434,15279,7873,268,4.36,0.14,,,369,464,718,278,1008,68,60,1155,95,20,1.64,1.64,1.6,1.6,1.7,68,1.5,1.8,95,1.62,49.28752,6.79989
456,16083,13263,451,4.39,0.14,178,0,119,130,135,117,153,68,63,163,95,3,3.69,3.66,3.6,3.4,3.9,68,3.2,4.2,95,3.45,51.79229,9.73268
457,16095,10721,365,4.32,0.14,60,0,194,236,286,179,337,68,56,365,95,61,2.57,2.56,2.5,2.4,2.7,68,2.3,2.9,95,2.4,51.82782,12.73529
362,12447,6763,230,4.36,0.14,,,1071,1270,1608,562,3447,68,130,6131,95,34,1.25,1.25,1.24,1.1,1.4,68,1.0,1.4,95,1.34,40.06538,6.11195
332,11484,10652,362,4.11,0.14,55,0,127,156,234,97,322,68,24,365,95,279,2.45,2.44,2.42,2.3,2.6,68,2.2,2.7,95,2.6,37.03976,8.46006
329,11427,6465,220,4.3,0.14,,,1598,1961,2476,1029,4732,68,224,6879,95,1713,1.19,1.19,1.18,1.1,1.3,68,1.0,1.4,95,1.23,36.84746,10.19832
480,16924,8333,283,4.37,0.14,,,364,460,659,302,849,68,67,944,95,17,1.78,1.77,1.75,1.7,1.8,68,1.6,2.0,95,1.73,54.4493,15.43056
514,18170,7085,241,4.27,0.14,,,1321,1437,1433,1179,1857,68,546,2441,95,528,1.53,1.52,1.46,1.4,1.6,68,1.3,1.8,95,1.44,58.29186,17.32708
551,19261,6699,228,4.25,0.14,,,1062,1296,1753,631,3073,68,137,5158,95,1355,1.27,1.27,1.27,1.2,1.4,68,1.1,1.4,95,1.32,61.92493,15.16278
562,19504,6649,226,4.26,0.14,,,1553,1845,2024,1059,3350,68,290,5788,95,1434,1.29,1.29,1.27,1.2,1.4,68,1.1,1.5,95,1.3,62.67652,18.42325
598,20350,6586,224,4.29,0.14,,,1165,1454,1967,668,3753,68,141,5957,95,1337,1.22,1.22,1.21,1.1,1.3,68,1.0,1.4,95,1.28,65.38445,18.41758
592,20255,6939,236,4.27,0.14,,,1015,1276,1518,801,2247,68,168,2985,95,722,1.4,1.4,1.38,1.3,1.5,68,1.2,1.6,95,1.4,65.10462,18.74261
611,20614,6899,235,4.19,0.14,,,806,1006,1433,531,2175,68,106,3073,95,1405,1.36,1.36,1.35,1.3,1.4,68,1.2,1.5,95,1.41,66.23803,19.04201
620,20769,5976,203,3.74,0.14,,,3559,4467,5705,3108,7572,68,1122,8913,95,3249,1.09,1.08,1.01,1.0,1.1,68,1.0,1.2,95,1.39,66.75259,19.11765
578,19975,6583,224,4.21,0.14,,,1650,1971,2207,1165,3757,68,299,5957,95,2059,1.27,1.27,1.24,1.2,1.4,68,1.1,1.4,95,1.3,64.2551,19.67568
597,20349,6567,223,4.21,0.14,,,1179,1432,1967,688,3758,68,145,5957,95,2107,1.21,1.21,1.18,1.1,1.3,68,1.1,1.4,95,1.29,65.38187,21.03988
586,20171,12127,412,4.25,0.14,9,0,168,169,186,149,194,68,132,211,95,91,3.9,3.9,3.91,3.6,4.3,68,3.3,4.5,95,2.95,64.85874,21.14231
582,20087,7501,255,4.09,0.14,,,972,1094,1138,930,1373,68,387,1631,95,1132,1.65,1.64,1.58,1.5,1.7,68,1.4,1.9,95,1.65,64.59667,21.57929
588,20186,13682,465,4.43,0.14,42,0,50,63,90,38,126,68,9,145,95,3,3.53,3.52,3.49,3.3,3.7,68,3.1,3.9,95,4.0,64.90294,21.77349
536,18735,7198,245,4.06,0.14,,,489,602,986,324,1479,68,71,1884,95,1377,1.45,1.45,1.46,1.4,1.5,68,1.3,1.6,95,1.58,60.20319,18.194
573,19789,6666,227,4.26,0.14,,,2081,2025,2024,1533,2552,68,1259,4217,95,1391,1.51,1.51,1.46,1.4,1.7,68,1.2,1.8,95,1.31,63.62675,22.45187
538,18833,6315,215,4.06,0.14,,,3241,3393,3117,2367,5357,68,1372,7499,95,3189,1.23,1.21,1.18,1.1,1.3,68,1.0,1.4,95,1.3,60.56365,22.42231
558,19436,8002,272,4.23,0.14,,,487,619,806,424,1033,68,97,1155,95,569,1.7,1.69,1.66,1.6,1.8,68,1.6,1.9,95,1.68,62.43201,24.07295
