recno,HIP,BD/HD,Rem,SpType,n_SpType,Teff,log(g),f_log(g),xi,f_xi,[M/H],f_[M/H],n_[M/H],SMW,logR'HK,AC,Res,n_AC,n_HIP,SimbadName,_RA,_DE
94,13976,HD 18632," ",K2.5 V k,*,4899,4.49,f,1.0,f,-0.12," "," ",0.612,-4.418,"A ",1.8," ",13,HIP 13976,45.0117,7.7498
101,15099,HD 20165," ",K1 V," ",5147,4.54,f,1.0,f,0.0," "," ",0.162,-5.05,"I ",3.6," ",,HIP 15099,48.6968,8.9808
77,12114,HD 16160," ",K3 V," ",4739,4.58,f,1.0,f,-0.37," "," ",0.17,-5.094,"I ",3.6," ",,HIP 12114,39.0204,6.8869
84,12828,HD 17094," ",A9 IIIp,*,7225,3.9," ",3.2," ",0.04," "," ",,,"  ",," ",12,HIP 12828,41.2356,10.1141
87,12929,HD 17230," ",K6 V," ",,," ",," ",," "," ",0.914,-4.768,"I ",3.6," ",,HIP 12929,41.572,11.7752
89,13258,HD 17660," ",K4.5 V," ",,," ",," ",," "," ",0.941,-4.624,"A ",3.6," ",,HIP 13258,42.6537,15.7099
91,13601,HD 18144," ",G8 V," ",5412,4.38," ",1.0,f,-0.11," "," ",0.183,-4.916,"I ",1.8," ",,HIP 13601,43.8225,16.3092
120,18267,HD 24496," ",G7 V," ",5445,4.44," ",1.0,f,-0.14," "," ",0.185,-4.894,"I ",1.8," ",,HIP 18267,58.6168,16.6161
109,17336,HD 23052," ",G4 V," ",5639,4.47," ",1.0,f,-0.21," "," ",0.194,-4.828,"I ",1.8," ",,HIP 17336,55.6537,17.2935
127,19076,HD 25680," ",G1 V," ",5788,4.45," ",1.0,f,0.01," "," ",0.253,-4.608,"A ",1.8," ",,HIP 19076,61.3344,22.0089
119,18097,HD 24206," ",G7 V," ",5517,4.49," ",1.0,f,-0.12," "," ",0.184,-4.883,"I ",3.6," ",,HIP 18097,58.0233,22.6716
114,17609,HD 23453," ",M1 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 17609,56.5839,26.2155
83,12709,HD 16909," ",K3.5 V k," ",,," ",," ",," "," ",0.844,-4.478,"A ",3.6," ",,HIP 12709,40.8372,19.4292
54,7981,HD 10476," ",K0 V," ",5249,4.55,f,1.0,f,-0.13," "," ",0.151,-5.095,"I ",3.6," ",,HIP 7981,25.624,20.2685
65,8903,HD 11636," ",kA4hA5mA5 Va," ",8300,4.1," ",3.5," ",0.02," "," ",,,"  ",," ",,HIP 8903,28.66,20.808
73,10505,HD 13825," ",G5 IV-V," ",5550,4.1," ",1.0,f,0.12," "," ",0.164,-4.986,"I ",3.6," ",,HIP 10505,33.8517,24.2713
68,9884,HD 12929," ",K1 IIIb," ",4504,2.2," ",1.0,f,-0.33," ",K,,,"  ",," ",,HIP 9884,31.7934,23.4624
67,9829,HD 12846," ",G2 V-," ",5667,4.38," ",1.0,f,-0.25," "," ",0.164,-4.975,"I ",1.8," ",,HIP 9829,31.626,24.334
102,15332," "," ",M2.5 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 15332,49.4385,25.2518
98,14594,HD 19445," ",G2 V Fe-3," ",5920,4.3," ",1.0,f,-1.98," "," ",,,"  ",," ",,HIP 14594,47.1066,26.3309
86,12926,HD 17190," ",K1 V," ",5112,4.47,f,1.0,f,-0.2," "," ",0.177,-4.983,"I ",3.6," ",,HIP 12926,41.5634,25.6499
88,13081,HD 17382," ",K0 V," ",5188,4.5,f,1.0,f,0.0," "," ",0.342,-4.578,"A ",3.6," ",,HIP 13081,42.0381,27.0686
95,14150,HD 18803,*,G6 V," ",5588,4.21," ",1.0,f,0.14," "," ",0.193,-4.854,"I ",3.6," ",,HIP 14150,45.6084,26.6092
92,13642,HD 18143," ",K2 IV," ",4732,4.32,f,1.0,f,-0.44," "," ",0.158,-5.119,VI,3.6," ",,HIP 13642,43.9127,26.8732
90,13398," "," ",M2 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 13398,43.1043,26.975
136,20917,HD 28343," ",M0.5 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 20917,67.2505,21.9227
140,21482,HD 283750," ",K3 IV ke,*,,," ",," ",," "," ",2.46,-4.057,VA,3.6," ",26,HIP 21482,69.201,27.1322
144,21847,HD 29645," ",F9 IV-V," ",5938,3.96," ",1.5," ",-0.01," "," ",0.14,-5.114,VI,1.8," ",,HIP 21847,70.4594,38.2802
135,19930,HD 26900," ",K2.5 V," ",,," ",," ",," "," ",0.413,-4.592,"A ",3.6," ",,HIP 19930,64.1361,36.5018
156,24502,HD 33959C,*,F5 V," ",,," ",," ",," "," ",0.287,-4.397,"A ",1.8," ",,HIP 24502,78.8484,32.6848
163,25580,HD 35681," ",F7 V," ",6353,4.2," ",1.7," ",0.05," "," ",0.184,-4.781,"I ",1.8," ",,HIP 25580,82.0039,33.7637
154,24332,HD 33632," ",F8 V," ",6123,4.25," ",1.6," ",-0.21," "," ",0.173,-4.857,"I ",1.8," ",,HIP 24332,78.3227,37.3373
157,24813,HD 34411,*,G1 V," ",5857,4.17," ",1.0,f,0.04," "," ",0.15,-5.055,"I ",1.8," ",,HIP 24813,79.7853,40.0991
174,28360,HD 40183," ",A1 IV-Vp...,*,9024,3.71," ",2.0,f,0.0," ",*,,,"  ",," ",34,HIP 28360,89.8822,44.9474
167,26505,HD 37008," ",K1 V," ",,," ",," ",," "," ",0.138,-5.163,VI,3.6," ",,HIP 26505,84.5494,51.4457
126,18915,HD 25329," ",K3 Vp Fe-1.7,*,4889,4.83,f,1.0,f,-1.61," "," ",0.132,-5.199,VI,3.6," ",21,HIP 18915,60.8125,35.2733
129,19335,HD 25998," ",F8 V," ",6252,4.13," ",1.8," ",-0.01," "," ",0.285,-4.468,"A ",1.8," ",23,HIP 19335,62.1526,38.0397
128,19255,HD 25893," ",G9 V  (k),*,5068,4.45," ",1.0,f,-0.43," "," ",0.648,-4.302,"A ",1.8," ",22,HIP 19255,61.8931,38.0745
112,17666,HD 23439A," ",K2: V Fe-1.3," ",,," ",," ",," "," ",0.137,-5.172,VI,3.6," ",17,HIP 17666,56.7588,41.4273
