recno,Name,HIP,n_HIP,HD/DM,SpType,n_SpType,Teff,log(g),VTurb,[M/H],Note,Fit,SMW,logR,AC,n_AC,Obs,t5,SimbadName,_RA,_DE
196,HIP  12114,12114," ",16160,K3 V," ",4726,4.58,1.0,-0.14," "," ",0.153,-5.153,VI," ",CTIO," ",HIP  12114,39.02043,6.88679
131,HIP   7981,7981," ",10476,K1 V," ",5155,4.48,1.0,0.03," "," ",0.151,-5.092,"I "," ",CTIO," ",HIP   7981,25.62401,20.26852
681,HIP  46843,46843," ",82443,K1 V (k)," ",,,,," "," ",0.618,-4.234,"A "," ",CTIO," ",HIP  46843,143.18233,26.98853
1481,HIP 107350,107350," ",206860,G0 V CH-0.5," ",5954,4.43,1.0,-0.1," "," ",0.339,-4.4,"A "," ",CTIO/SO," ",HIP 107350,326.13054,14.77194
1375,HIP  98819,98819," ",190406,G0 V," ",5913,4.41,1.0,0.01," "," ",0.19,-4.81,"I "," ",CTIO/SO," ",HIP  98819,301.02592,17.07019
1373,HIP  98767,98767," ",190360,G7 IV-V," ",5497,4.31,1.0,0.11," "," ",0.154,-5.059,"I "," ",CTIO/SO," ",HIP  98767,300.90585,29.8968
1348,HIP  96901,96901," ",186427,G3 V," ",5728,4.33,1.0,0.05," "," ",0.154,-5.041,"I "," ",SO,S,HIP  96901,295.46655,50.51752
1668,HIP 117880,117880," ",224022,F9- V," ",6017,4.21,1.0,0.08," "," ",0.161,-4.948,"I "," ",SO," ",HIP 117880,358.66092,-40.30006
1671,HIP 118008,118008," ",224228,K2.5 V (k)," ",,,,," "," ",0.618,-4.468,"A "," ",CTIO," ",HIP 118008,359.04447,-39.05234
13,HIP    950,950," ",739,F5 V," ",6548,4.3,2.0,-0.05," "," ",0.192,-4.715,"A "," ",SO," ",HIP    950,2.93342,-35.13312
27,HIP   1837,1837," ",1910,K4 V (k)," ",,,,," "," ",0.883,-4.457,"A "," ",SO," ",HIP   1837,5.81651,-33.16753
28,HIP   1936,1936," ",2025,K3 V," ",4761,4.62,1.0,-0.32," "," ",0.219,-4.933,"I "," ",SO," ",HIP   1936,6.10806,-27.02677
25,HIP   1768,1768," ",1815,K2 V (k)," ",4907,4.65,1.0,-0.37," "," ",0.35,-4.639,"A "," ",SO," ",HIP   1768,5.59818,-27.03251
1643,HIP 116374,116374," "," ",K5.5 V," ",,,,," "," ",0.568,-4.861,"I "," ",CTIO," ",HIP 116374,353.71866,-34.66979
1647,HIP 116492,116492," "," ",K4.5 V," ",,,,," "," ",0.583,-4.784,"I "," ",CTIO," ",HIP 116492,354.08767,-33.21368
1650,HIP 116763,116763," ",222335,G9.5 V," ",5218,4.56,1.0,-0.17," "," ",0.192,-4.909,"I "," ",SO," ",HIP 116763,354.96378,-32.74341
1663,HIP 117542,117542," ",223515,K0 V," ",5093,4.47,1.0,0.02," "," ",0.212,-4.868,"I "," ",SO," ",HIP 117542,357.56209,-29.40173
1662,HIP 117481,117481," ",223408,F6 V," ",6255,4.18,1.0,-0.17," "," ",0.319,-4.39,"A "," ",SO," ",HIP 117481,357.33136,-27.85426
1660,HIP 117404,117404," ",223282,G8.5 V," ",5383,4.54,1.0,-0.33," "," ",0.197,-4.872,"I "," ",SO," ",HIP 117404,357.08885,-27.8975
1656,HIP 117081,117081," ",222834,G1 V," ",,,,," "," ",0.161,-4.93,"I "," ",SO," ",HIP 117081,356.03066,-27.19613
1646,HIP 116436,116436," ",221839,F7.5 V," ",6012,3.94,1.0,-0.09," "," ",0.293,-4.472,"A "," ",SO," ",HIP 116436,353.91688,-27.49049
3,HIP    296,296," ",225118,G8.5 V," ",5420,4.43,1.0,0.14," "," ",0.325,-4.57,"A "," ",SO," ",HIP    296,0.92285,-28.39619
1675,HIP 118261,118261," ",224607,K4 V (k)," ",,,,," "," ",0.685,-4.524,"A "," ",SO," ",HIP 118261,359.80708,-26.04875
7,HIP    616,616," ",283,G9.5 V," ",,,,," "," ",0.162,-5.029,"I "," ",SO," ",HIP    616,1.88559,-23.81872
1658,HIP 117247,117247," ",223078,K2+ V," ",,,,," "," ",0.17,-5.03,"I "," ",SO," ",HIP 117247,356.6113,-23.02797
1669,HIP 117958,117958," ",224143,G1 V," ",5770,4.49,1.0,-0.1," "," ",0.302,-4.508,"A "," ",SO," ",HIP 117958,358.8957,-20.95316
1676,HIP 118278,118278," ",224619,G8+ V," ",5442,4.49,1.0,-0.21," "," ",0.165,-4.996,"I "," ",SO," ",HIP 118278,359.86847,-20.03471
53,HIP   3479,3479," ",4208,G7 V Fe-1 CH-0.5," ",5683,4.53,1.0,-0.23," "," ",0.173,-4.924,"I "," ",SO," ",HIP   3479,11.11104,-26.51568
72,HIP   4691,4691," "," ",K4.5 V," ",,,,," "," ",0.473,-4.796,"I "," ",SO," ",HIP   4691,15.07704,-25.61465
43,HIP   2941,2941," ",3443,G7 V," ",5480,4.28,1.0,-0.14," "," ",0.17,-4.961,"I "," ",SO," ",HIP   2941,9.33633,-24.76727
46,HIP   3185,3185," ",3795,K0 V Fe-1.5 CH-1.3," ",5394,3.89,1.0,-0.46," "," ",0.134,-5.193,VI," ",SO," ",HIP   3185,10.13665,-23.80492
61,HIP   3850,3850," ",4747,G9 V," ",5354,4.55,1.0,-0.16," "," ",0.21,-4.829,"I "," ",SO," ",HIP   3850,12.3615,-23.21246
64,HIP   4022,4022," ",4967,K7- V k," ",,,,," "," ",1.357,-4.628,"A "," ",SO," ",HIP   4022,12.89175,-22.91007
73,HIP   4855,4855," ",6156,G9 V,*,5144,4.42,1.0,-0.17," "," ",0.287,-4.657,"A "," ",SO," ",HIP   4855,15.61554,-21.61058
95,HIP   6273,6273," ",8129,G7 V," ",5507,4.5,1.0,-0.21," "," ",0.178,-4.915,"I "," ",SO," ",HIP   6273,20.12512,-19.94897
35,HIP   2237,2237," ",2475,F9 V Fe+0.5," ",5897,4.24,1.0,0.02," "," ",0.245,-4.609,"A "," ",SO," ",HIP   2237,7.0879,-20.33505
65,HIP   4024,4024," ",4972,K3.5 IV-V," ",,,,," "," ",0.388,-4.854,"I "," ",SO," ",HIP   4024,12.89401,-14.89068
48,HIP   3249,3249," ",-13 116,K7- V k," ",,,,," "," ",1.978,-4.512,"A "," ",SO," ",HIP   3249,10.35107,-13.17214
56,HIP   3559,3559," ",4307,G0 V," ",5784,4.11,1.0,-0.4," "," ",0.147,-5.061,"I "," ",SO," ",HIP   3559,11.36953,-12.88081
1615,HIP 114746,114746," ",219246,K2.5 V (k)," ",,,,," "," ",0.703,-4.367,"A "," ",SO," ",HIP 114746,348.65973,-29.70249
1606,HIP 114291,114291," ",218522,F6 V Fe-0.7 CH-0.4," ",6488,4.21,2.0,-0.27," "," ",0.206,-4.672,"A "," ",SO," ",HIP 114291,347.21472,-25.83061
1591,HIP 113597,113597," ",217379,K6.5 V ke," ",,,,," "," ",3.188,-4.336,"A "," ",CTIO," ",HIP 113597,345.11647,-26.31189
1590,HIP 113579,113579," ",217343,G1.5 V (k)," ",5749,4.5,1.0,0.0," "," ",0.425,-4.321,"A "," ",SO," ",HIP 113579,345.08036,-26.15375
1604,HIP 114242,114242," ",218422,K4 V (k)," ",,,,," "," ",0.798,-4.582,"A "," ",SO," ",HIP 114242,347.06324,-24.74325
1601,HIP 114156,114156," ",218294,K6 V k," ",,,,," "," ",1.772,-4.496,"A "," ",SO," ",HIP 114156,346.77941,-23.15945
1620,HIP 114954,114954," "," ",M0 V (k)," ",,,,," "," ",1.28,-4.823,"I "," ",SO," ",HIP 114954,349.25093,-23.3963
1600,HIP 114135,114135," ",218279,K2+ V CN+1," ",,,,," "," ",0.188,-4.999,"I "," ",SO," ",HIP 114135,346.72645,-21.45717
1651,HIP 116819,116819," ",222422,G8 V," ",5486,4.55,1.0,-0.05," "," ",0.178,-4.928,"I "," ",SO," ",HIP 116819,355.15772,-18.98889
1640,HIP 116215,116215," ",221503,K6 V k," ",,,,," "," ",1.883,-4.486,"A "," ",SO," ",HIP 116215,353.20583,-16.84565
1589,HIP 113576,113576," ",217357,K7+ V k," ",,,,," "," ",1.809,-4.643,"A "," ",SO," ",HIP 113576,345.06718,-22.52435
