recno,Name,HIP,B-V,SHK,Jitter,logRHK,dMag,Prot,Age,Obs,SimbadName,_RA,_DE
368,"HIP 14113 ",14113,0.791,0.163,2.258,-5.02,1.17,,6.99,K,HIP 14113,45.50134,0.4978
461,"HD 19638  ",14702,0.761,0.162,4.299,-5.016,2.3,,6.9,K,HD 19638,47.48497,6.70482
449,"HD 19019  ",14258,0.52,0.239,4.166,-4.604,-0.3,5,1.17,K,HD 19019,45.96173,6.1333
441,"HD 18702  ",14023,0.838,0.173,2.296,-4.996,0.31,46,6.53,K,HD 18702,45.15041,5.98606
476,"HD 20439  ",15310,0.617,0.313,5.416,-4.469,0.14,7,0.49,K,HD 20439,49.38659,7.69015
511,"HD 22670  ",17032,0.7,0.31,5.372,-4.531,0.0,12,0.74,K,HD 22670,54.76857,9.65284
471,"HD 20165  ",15099,0.86,0.184,2.339,-4.966,-0.1,45,5.96,K,HD 20165,48.69678,8.98079
391,"HIP 15904 ",15904,0.52,0.182,3.184,-4.821,-2.3,9,3.51,K,HIP 15904,51.20985,12.25659
480,"HD 20656  ",15508,0.783,0.358,5.07,-4.518,5.41,16,0.68,L,HD 20656,49.96668,13.37707
399,"HD 16275  ",12198,0.62,0.166,2.869,-4.948,0.31,21,5.64,K,HD 16275,39.27353,12.9019
460,"HD 19618  ",14705,0.825,0.273,2.792,-4.706,0.1,27,2.05,K,HD 19618,47.49863,15.37324
444,"HD 18752  ",14069,0.656,0.168,4.296,-4.946,3.92,26,5.6,K,HD 18752,45.32209,14.98224
433,"HD 18144  ",13601,0.7,0.201,3.494,-4.818,-0.2,25,3.46,L,HD 18144,43.82252,16.30919
530,"HD 23825  ",17778,0.765,0.222,4.535,-4.787,3.29,29,3.03,K,HD 23825,57.0914,10.79306
531,"HD 23952  ",17873,0.729,0.653,6.206,-4.155,2.92,3,0.03,K,HD 23952,57.36252,11.14437
543,"HD 24496  ",18267,0.81,0.179,2.337,-4.958,0.41,42,5.81,K,HD 24496,58.61681,16.61605
