recno,Date,n_Date,n_Star,Star,m_Star,B-V,Vmag,SpType,SAAT,e_SAAT,logR'HK,_RA,_DE
1,2452125.0,,*,HD    142," ",0.519,5.7,G1IV,0.161,0.001,-4.95,1.5799,-49.07519
2,2452125.0,,*,HD   2039," ",0.656,9.0,G2/G3IV/V,0.18,0.001,-4.89,6.08449,-56.65005
3,2452125.0,," ",HD   2587," ",0.748,8.46,G6V,0.152,0.001,-5.07,7.29342,-50.61191
4,2452125.0,," ",HD   3823," ",0.564,5.89,G1V,0.16,0.001,-4.97,10.10696,-59.4546
5,2452125.0,," ",HD   6735," ",0.567,7.01,F8V,0.173,0.001,-4.89,16.88355,-41.7467
6,2452125.0,," ",HD   7199," ",0.849,8.06,K0IV/V,0.177,0.001,-4.99,17.69676,-66.18816
7,2452125.0,," ",HD   7570," ",0.571,4.97,F8V,0.166,0.001,-4.93,18.79634,-45.53166
8,2452125.0,," ",HD   9280," ",0.76,8.03,G5,0.148,0.001,-5.09,22.80811,-10.89654
9,2452125.0,," ",HD  10180," ",0.629,7.33,G1V,0.165,0.001,-4.96,24.47323,-60.51153
10,2452125.0,," ",HD  10647," ",0.551,5.52,F8V,0.213,0.001,-4.7,25.62215,-53.74083
11,2452125.0,," ",HD  11112," ",0.637,7.13,G4V,0.158,0.001,-5.0,27.08576,-41.49506
12,2452125.0,,*,HD  13445," ",0.812,6.12,K0V,0.302,0.002,-4.64,32.60806,-50.82372
13,2452125.0,," ",HD  16417," ",0.653,5.78,G1V,0.148,0.001,-5.08,39.2442,-34.57798
14,2452125.0,,*,HD  17051," ",0.561,5.4,G3IV,0.249,0.002,-4.59,40.63944,-50.80029
15,2452125.0,," ",HD  18907," ",0.794,5.88,G8/K0V,0.147,0.001,-5.11,45.40682,-28.09155
16,2452125.0,," ",HD  19632," ",0.678,7.29,G3/G5V,0.369,0.002,-4.41,47.21852,-24.88765
17,2452125.0,," ",HD  20029," ",0.561,7.05,F7V,0.156,0.001,-4.99,47.96908,-39.02322
18,2452125.0,," ",HD  20201," ",0.584,7.27,G0V,0.178,0.001,-4.87,48.22658,-47.15523
19,2452125.0,," ",HD  20766," ",0.641,5.53,G2V,0.27,0.002,-4.58,49.44235,-62.57532
20,2452125.0,,*,HD  20782," ",0.63,7.36,G3V,0.186,0.001,-4.85,50.01491,-28.85407
21,2452125.0,," ",HD  20807," ",0.6,5.24,G1V,0.184,0.001,-4.84,49.55341,-62.50636
22,2452125.0,," ",HD  22104," ",0.679,8.32,G3V,0.155,0.001,-5.04,51.90492,-73.43957
23,2452125.0,,*,HD  23079," ",0.583,7.12,F8/G0V,0.163,0.001,-4.95,54.92956,-52.91584
24,2452125.0,," ",HD  23127," ",0.69,8.58,G2V,0.162,0.001,-5.0,54.8485,-60.07784
25,2452125.0,," ",HD  23484," ",0.87,6.99,K1V,0.508,0.003,-4.43,56.03822,-38.28177
26,2452125.0,," ",HD  24112," ",0.56,7.24,F8V,0.155,0.001,-5.0,57.19514,-40.39923
27,2452125.0,," ",HD  25587," ",0.543,7.4,F7V,0.164,0.001,-4.93,60.67812,-27.48355
28,2452125.0,," ",HD  25874," ",0.667,6.74,G5IV-V,0.169,0.001,-4.95,60.61237,-61.35694
29,2452125.0,," ",HD  26754," ",0.551,7.16,F7/F8V,0.159,0.001,-4.97,62.53085,-61.59895
30,2452125.0,,*,HD  27442," ",1.078,4.44,K2IV,0.129,0.001,-5.35,64.12095,-59.30216
31,2452125.0,," ",HD  28255," ",0.659,6.28,G4V,0.188,0.001,-4.85,66.05086,-57.07134
32,2452125.0,,*,HD  30177," ",0.773,8.41,G8V,0.152,0.001,-5.08,70.47655,-58.02076
33,2452125.0,," ",HD  30876," ",0.901,7.49,K2V,0.468,0.003,-4.51,72.46805,-35.10763
34,2452125.0,," ",HD  31527," ",0.606,7.49,G2V,0.172,0.001,-4.91,73.90993,-23.24188
35,2452125.0,," ",HD  36108," ",0.59,6.78,G3V,0.155,0.001,-5.01,82.08762,-22.43393
36,2452125.0,," ",HD  38283," ",0.584,6.69,G0/G1V,0.161,0.001,-4.97,84.2584,-73.69934
37,2452125.0,," ",HD  38382," ",0.58,6.34,F8/G0V,0.167,0.001,-4.93,86.11831,-20.12657
38,2452125.0,," ",HD  38973," ",0.594,6.63,G2V,0.161,0.001,-4.97,86.61663,-53.21933
39,2452125.0,," ",HD  40307," ",0.935,7.17,K3V,0.265,0.002,-4.83,88.51767,-60.02347
40,2452125.0,," ",HD 202628," ",0.637,6.75,G5V,0.257,0.002,-4.61,319.61362,-43.33465
41,2452125.0,," ",HD 204385," ",0.596,7.14,G0IV,0.166,0.001,-4.94,322.69971,-62.1676
42,2452125.0,," ",HD 204961," ",1.521,8.66,M1V,0.985,0.007,-5.1,323.39156,-49.00901
43,2452125.0,," ",HD 205390," ",0.879,7.14,K2V,0.426,0.003,-4.53,324.17185,-50.84538
44,2452125.0,," ",HD 205536," ",0.755,7.07,G8V,0.164,0.001,-5.01,325.12406,-74.07428
45,2452125.0,," ",HD 209268," ",0.564,6.88,F7V,0.156,0.001,-4.99,330.89685,-55.97696
46,2452125.0,," ",HD 211317," ",0.65,7.26,G5III/IV,0.156,0.001,-5.02,334.70692,-68.3131
47,2452125.0,," ",HD 212168," ",0.599,6.12,G3IV,0.161,0.001,-4.97,336.46316,-75.01569
48,2452125.0,,*,HD 216437," ",0.66,6.04,G4IV-V,0.155,0.001,-5.03,343.66451,-70.07371
49,2452125.0,," ",HD 217987," ",1.483,7.35,M2/M3V,1.081,0.007,-5.01,346.46681,-35.85307
50,2452125.0,," ",HD 222237," ",0.989,7.09,K3V,0.296,0.002,-4.84,354.90578,-72.72215
51,2452125.0,," ",HD 222335," ",0.802,7.18,K1V,0.238,0.002,-4.77,354.96378,-32.74341
52,2452475.0,," ",GL 551," ",1.807,11.01,M5Ve,10.686,0.072,-4.28,217.42895,-62.67948
53,2452475.0,," ",GL 729," ",1.51,10.37,M3.5Ve,6.188,0.042,-4.29,282.45568,-23.83623
54,2452475.0,," ",HD   1273," ",0.655,6.84,G2V,0.192,0.001,-4.83,4.22456,-52.65115
55,2452475.0,," ",HD   1581," ",0.576,4.23,F9V,0.167,0.001,-4.92,5.01775,-64.87479
56,2452475.0,," ",HD   2071," ",0.681,7.27,G8IV,0.184,0.001,-4.88,6.17728,-53.984
57,2452475.0,," ",HD   5133," ",0.936,7.15,K2V,0.464,0.003,-4.56,13.25473,-30.35692
58,2452475.0,," ",HD   5562," ",0.808,7.17,G8IV,0.147,0.001,-5.11,14.08854,-63.95838
59,2452475.0,," ",HD   7570," ",0.571,4.97,F8V,0.159,0.001,-4.97,18.79634,-45.53166
60,2452475.0,," ",HD   7693," ",1.0,7.22,K2V,0.655,0.004,-4.48,18.75414,-68.81891
61,2452475.0,," ",HD   8581," ",0.569,6.85,F8V,0.152,0.001,-5.03,21.05126,-31.81196
62,2452475.0,," ",HD   9540," ",0.766,6.97,K0V,0.365,0.002,-4.49,23.31587,-24.17796
63,2452475.0,," ",HD  12042," ",0.487,6.1,F8V,0.161,0.001,-4.94,29.24994,-51.76624
64,2452475.0,," ",HD  13246," ",0.544,7.5,F8V,0.341,0.002,-4.38,31.85886,-59.67943
65,2452475.0,," ",HD  17925," ",0.862,6.05,K1V,0.674,0.004,-4.29,43.13387,-12.76971
66,2452475.0,,*,HD  22049," ",0.881,3.72,K2V,0.48,0.003,-4.47,53.23268,-9.45826
67,2452475.0,," ",HD  23456," ",0.511,6.97,G1V,0.166,0.001,-4.91,55.76984,-50.64308
68,2452475.0,," ",HD  27274," ",1.115,7.64,K5V,0.416,0.003,-4.86,63.98709,-53.30981
69,2452475.0,," ",HD  30295," ",0.812,8.86,K0/K1V,0.142,0.001,-5.13,70.58324,-61.62069
70,2452475.0,," ",HD  31827," ",0.77,8.26,G8IV,0.149,0.001,-5.09,74.0763,-51.04751
71,2452475.0,," ",HD  33811," ",0.765,8.71,G8IV/V,0.164,0.001,-5.01,77.67959,-44.57178
72,2452475.0,," ",HD  38110," ",0.696,8.18,G5,0.159,0.001,-5.02,85.74513,-7.48116
73,2452475.0,," ",HD  38393," ",0.481,3.59,F7V,0.167,0.001,-4.9,86.11579,-22.44838
74,2452475.0,," ",HD  40307," ",0.935,7.17,K3V,0.255,0.002,-4.85,88.51767,-60.02347
