recno,HIP,B-V,Vmag,SMW,e_SMW,log(R'HK),vsini,RV,e_RV,Uvel,e_Uvel,Vvel,e_Vvel,Wvel,e_Wvel,_RA,_DE
810,107975,0.426,5.52,0.149,0.004,-5.03,5.6,18.4,1.8,13.5,0.3,15.3,1.7,-7.1,0.6,328.0,29.0
5,772,0.687,8.52,0.152,0.004,-5.06,2.1,-26.1,1.6,3.9,0.6,-6.7,0.4,27.6,1.6,2.0,-34.0
11,1712,0.532,8.56,0.144,0.003,-5.08,4.0,-40.4,1.7,-18.2,1.3,12.8,1.1,37.0,1.7,5.0,-35.0
22,2766,0.587,8.62,0.152,0.004,-5.03,2.5,-1.9,1.7,10.8,1.1,-31.3,2.9,2.6,1.7,9.0,-29.0
878,116821,0.5,8.6,0.154,0.004,-4.99,5.2,-14.2,1.8,-43.0,4.0,-22.6,2.2,1.3,2.1,355.0,-32.0
889,118143,0.748,8.84,0.171,0.004,-4.97,2.1,8.7,1.6,46.2,3.0,-36.9,2.5,-1.2,1.7,359.0,-30.0
876,116691,0.569,8.7,0.197,0.004,-4.77,12.0,-6.3,2.1,-29.1,3.2,-16.5,1.8,-3.0,2.3,355.0,-28.0
870,116376,0.702,9.2,0.294,0.006,-4.57,2.4,-3.8,1.6,-41.9,3.9,-46.3,4.3,-14.1,2.3,354.0,-27.0
875,116635,0.537,8.9,0.275,0.006,-4.52,6.0,-2.4,1.8,-46.3,5.9,-36.9,4.7,-15.0,2.8,355.0,-25.0
882,117247,0.882,8.93,0.213,0.005,-4.9,1.6,9.3,1.6,27.3,1.3,6.2,0.4,-3.2,1.6,357.0,-23.0
32,3443,0.589,8.57,0.157,0.004,-4.99,3.7,7.3,1.7,6.7,0.7,-5.4,0.6,-7.6,1.7,11.0,-25.0
36,4195,0.642,8.69,0.166,0.004,-4.96,1.3,14.1,1.6,-1.1,0.3,-79.6,5.6,-17.3,1.6,13.0,-24.0
39,4420,0.568,8.88,0.165,0.004,-4.94,2.5,-4.4,1.7,-23.9,2.1,20.5,1.8,6.4,1.7,14.0,-24.0
25,2941,0.715,5.57,0.169,0.004,-4.97,1.2,18.5,1.6,-88.1,1.9,-54.2,1.2,-24.2,1.6,9.0,-25.0
24,2902,0.824,7.94,0.133,0.004,-5.19,2.8,5.9,1.6,14.0,1.1,-16.0,1.3,-6.7,1.6,9.0,-25.0
28,3185,0.718,6.14,0.153,0.004,-5.06,1.7,-46.2,1.6,-47.4,1.0,-90.1,1.8,39.5,1.6,10.0,-24.0
35,4194,0.722,8.92,0.254,0.005,-4.67,1.4,-1.1,1.6,-27.6,1.8,-44.7,2.9,-0.3,1.6,13.0,-22.0
33,3605,0.626,9.36,0.153,0.004,-5.04,2.1,68.9,1.6,81.6,17.3,24.8,3.6,-70.2,1.7,12.0,-21.0
37,4242,0.816,8.94,0.137,0.004,-5.17,2.7,-1.3,1.6,-18.4,1.6,-51.1,4.4,-3.4,1.7,14.0,-18.0
7,1000,0.707,8.73,0.175,0.004,-4.94,7.0,34.5,1.8,-40.5,3.8,-51.9,5.0,-46.8,2.1,3.0,-22.0
41,4951,0.665,9.2,0.149,0.004,-5.07,2.5,-4.1,1.7,28.5,3.8,-23.7,3.1,-4.2,2.0,16.0,-15.0
26,3028,0.846,9.21,0.194,0.005,-4.93,2.0,33.1,1.6,-30.3,1.4,10.3,0.4,-28.7,1.6,10.0,-12.0
888,117905,0.68,8.86,0.192,0.004,-4.85,2.2,-10.3,1.6,-3.5,0.4,-0.2,0.5,10.1,1.6,359.0,-19.0
887,117708,0.509,8.17,0.151,0.004,-5.02,3.1,-17.6,1.7,-22.4,1.7,-21.9,1.5,9.6,1.7,358.0,-18.0
872,116519,0.904,9.31,0.175,0.004,-5.03,1.9,-26.3,1.6,-94.9,6.7,-47.0,2.9,-4.2,2.6,354.0,-17.0
845,114244,0.706,8.84,0.146,0.004,-5.1,3.1,27.0,1.7,44.6,5.7,-23.7,5.1,-25.1,1.5,347.0,-17.0
864,115673,0.702,9.15,0.152,0.004,-5.06,1.7,-23.3,1.6,-23.0,2.0,-57.9,5.4,-0.9,2.8,352.0,-15.0
839,114016,0.887,8.49,0.132,0.004,-5.2,2.7,-3.2,1.6,24.8,3.2,-14.4,1.8,5.4,1.5,346.0,-15.0
6,846,0.578,8.92,0.165,0.004,-4.94,1.0,-12.9,1.6,-67.8,6.4,-12.1,0.9,8.1,1.6,3.0,-14.0
883,117427,0.742,8.78,0.217,0.005,-4.79,2.5,-0.2,1.6,-35.2,2.4,-43.9,3.0,-18.0,2.0,357.0,-15.0
1,72,0.671,8.97,0.146,0.004,-5.1,2.1,-52.1,1.6,-48.9,5.4,-97.9,9.6,19.8,3.8,0.0,-13.0
885,117696,0.617,8.66,0.373,0.007,-4.37,8.2,-13.4,1.9,-15.8,1.7,-27.2,3.6,3.0,7.7,358.0,-12.0
12,1803,0.659,6.39,0.337,0.007,-4.45,6.2,-2.7,1.8,-35.7,0.6,-14.6,0.5,0.0,1.7,6.0,-12.0
17,2066,0.583,8.25,0.167,0.005,-4.93,2.6,-23.9,1.7,-9.1,0.7,-24.0,1.2,18.4,1.6,7.0,-11.0
18,2311,0.84,9.34,0.17,0.004,-5.01,0.8,-33.0,1.6,-29.9,2.1,-41.7,2.1,24.4,1.6,7.0,-11.0
868,116258,0.89,8.81,0.504,0.009,-4.46,3.5,6.1,1.6,-27.4,1.3,-5.9,0.7,-13.5,1.6,353.0,-13.0
879,116951,0.612,8.45,0.153,0.004,-5.03,1.5,-6.8,1.6,59.8,7.3,-9.6,1.2,8.8,1.5,356.0,-9.0
861,115468,0.546,8.93,0.166,0.004,-4.92,2.6,-38.7,1.7,-81.8,7.5,-44.4,2.8,7.2,3.1,351.0,-9.0
2,81,0.642,8.57,0.168,0.004,-4.94,2.0,-0.2,1.6,49.6,2.7,-10.8,0.9,-5.7,1.5,0.0,-5.0
84,8102,0.727,3.49,0.168,0.004,-4.98,1.6,-16.9,1.6,18.8,0.4,29.3,0.1,13.2,1.6,26.0,-16.0
85,8102,0.727,3.49,0.17,0.004,-4.97,1.6,-16.9,1.6,18.8,0.4,29.3,0.1,13.2,1.6,26.0,-16.0
86,8188,0.609,8.51,0.16,0.004,-4.98,2.9,-9.2,1.7,-34.1,3.0,-103.2,8.3,16.4,1.7,26.0,-16.0
64,6497,0.661,8.16,0.145,0.004,-5.1,3.3,19.4,1.7,-32.2,2.1,-12.1,1.1,-13.7,1.6,21.0,-14.0
63,6456,0.9,7.85,0.155,0.004,-5.1,1.9,34.2,1.6,-59.1,1.5,-37.7,1.2,-25.7,1.6,21.0,-13.0
61,6305,0.566,8.79,0.154,0.004,-5.01,2.8,4.6,1.7,-28.9,2.9,-16.3,1.8,0.0,1.7,20.0,-13.0
