Name,HD,HIP,d,B1Age,DAge,YAge,B2Age,ARange,<Age>
85 Peg,"224930 ",171,12.2,,,,,,
HD 225239,"225239 ",394,39.2,5.45,6.84,5.73,4.94,1.89,5.74
HD 38A,"38A    ",473,11.8,,5.97,3.84,5.29,2.12,5.03
HD 38B,"38B    ",,,,5.81,3.18,6.27,3.09,5.09
HD 123B,"123B   ",,,9.84,8.02,5.89,11.75,5.86,8.87
HD 123A,"123A   ",518,21.5,5.01,2.24,3.5,2.33,2.77,3.27
HD 166,"166    ",544,13.7,2.57,2.14,3.06,3.42,1.28,2.8
HD 330,"330    ",656,109.4,4.49,5.4,4.4,4.01,1.38,4.58
HD 400,"400    ",699,32.4,,8.67,5.0,5.25,3.67,6.31
HD 245,"245    ",705,57.1,,6.5,,,0.0,6.5
HD 603,"603    ",846,79.4,3.53,4.94,2.49,3.49,2.45,3.61
6 Cet,"693    ",910,18.7,7.13,6.25,,,0.88,6.69
HD 975,"975    ",1137,75.0,1.61,4.83,1.86,2.29,3.22,2.65
HD 1388,"1388   ",1444,27.2,2.0,6.5,3.0,6.75,4.75,4.56
HD 1461,"1461   ",1499,23.2,4.15,4.94,1.93,6.14,4.21,4.29
9 Cet,"1835   ",1803,20.9,3.22,1.83,2.18,2.57,1.39,2.45
HD 2475,"2475   ",2237,32.2,,,,6.0,0.0,6.0
HD 2582,"2582   ",2288,89.8,8.45,10.1,8.5,10.83,2.38,9.47
HD 2638,"2638   ",2350,49.9,5.36,3.76,3.42,5.29,1.95,4.46
HD 2589,"2589   ",2422,38.5,4.09,7.83,5.0,3.6,4.23,5.13
HD 2730,"2730   ",2434,113.3,4.49,6.05,4.5,4.6,1.56,4.91
13 Cet,"3196   ",2762,21.3,5.01,9.38,,4.69,4.69,6.36
14 Cet,"3229   ",2787,54.5,1.26,3.38,2.15,1.92,2.12,2.18
HD 3268,"3268   ",2832,37.6,3.95,7.17,,,3.22,5.56
HD 3443,"3443   ",2941,15.4,,,8.0,,0.0,8.0
HD 3556,"3556   ",3033,71.6,2.32,2.59,2.07,2.89,0.83,2.47
HD 3628,"3628   ",3086,49.4,10.22,11.75,11.0,10.43,1.53,10.85
54 Psc,"3651   ",3093,11.1,5.85,3.66,2.6,5.43,3.25,4.38
HD 3795,"3795   ",3185,28.9,11.75,10.75,11.0,10.88,1.0,11.09
HD 3765,"3765   ",3206,17.3,4.58,7.68,3.56,10.0,6.44,6.45
BD+33 99,"       ",3418,20.6,5.36,9.75,,12.0,6.64,9.04
HD 4208,"4208   ",3479,32.4,10.99,12.25,8.5,9.25,3.75,10.25
HD 4203,"4203   ",3502,77.2,10.48,10.75,9.2,11.69,2.49,10.53
HD 4256,"4256   ",3535,21.6,4.16,4.73,3.02,5.58,2.56,4.37
18 Cet,"4307   ",3559,31.0,11.49,10.25,8.5,8.75,2.99,9.75
61 Psc,"4568   ",3730,57.0,3.16,3.88,2.0,3.05,1.88,3.02
HD 4628,"4628   ",3765,7.5,5.66,,8.0,6.19,2.34,6.61
eta Cas,"4614   ",3821,6.0,5.16,4.54,5.63,10.7,6.16,6.5
HD 4635,"4635   ",3876,21.6,3.55,7.46,3.92,9.25,5.7,6.05
phi02 Cet,"4813   ",3909,15.8,0.92,1.86,1.46,2.78,1.86,1.75
HR 244,"5015   ",4151,18.7,4.74,5.42,,4.25,1.17,4.8
36 And,"5286   ",4288,38.0,6.8,6.13,,7.75,1.63,6.89
HD 5294,"5294   ",4290,29.1,10.99,3.8,6.0,9.5,7.19,7.57
HD 5372,"5372   ",4393,39.9,2.19,5.17,2.36,5.8,3.61,3.88
HD 5351,"5351   ",4454,24.4,,,2.59,11.5,8.91,7.04
HD 5494,"5494   ",4457,77.0,5.23,9.83,5.4,7.0,4.6,6.87
HD 5600,"5600   ",4504,136.2,2.67,3.18,2.63,2.41,0.77,2.72
HD 6064,"6064   ",4825,114.7,2.25,3.09,2.3,2.06,1.04,2.43
BD+61 195,"       ",4872,10.0,,,,6.54,0.0,6.54
