Age,Name,SimbadName,RAJ2000,DEJ2000
5000,LHS1014,LHS1014,1.2978,45.78628
5000,NLTT400,NLTT400,2.306,-4.13416
2000,NLTT557,NLTT557,2.97127,22.98422
40,00144767-6003477,2MASS J00144767-6003477,3.69901,-60.06337
5000,GJ1005,GJ1005,3.86861,-16.13497
5000,GJ3017,GJ3017,3.90328,-29.76701
5000,LHS1051,LHS1051,3.96802,-67.99805
150,GJ3030,GJ3030,5.49148,49.2105
5000,GJ3033,GJ3033,6.14622,30.04158
5000,G132-4,G132-4,8.33656,36.84086
5000,G270-10,G270-10,8.66283,-2.41668
5000,G270-12,G270-12,8.90835,-10.07196
5000,G218-5,G218-5,9.56347,52.33183
40,00393579-3816584,2MASS J00393579-3816584,9.89943,-38.28302
5000,NLTT2196,NLTT2196,10.1098,-0.14482
5000,G267-156,G267-156,10.37616,-33.62605
100,LP193-564,LP193-564,12.24291,44.5856
5000,GJ48,GJ48,15.6451,71.67907
5000,Gl49,Gl49,15.66502,62.34522
40,01024375-6235344,2MASS J01024375-6235344,15.68264,-62.59299
5000,Gl54,Gl54,17.59742,-67.44385
5000,YZ Cet,YZ Cet,18.13012,-16.99774
5000,GJ1033,GJ1033,18.3504,-22.9021
5000,G69-62,G69-62,19.16491,25.33127
5000,LHS6027,LHS6027,19.46035,28.67011
5000,LHS1229,LHS1229,19.6684,-0.8749
40,01224511-6318446,2MASS J01224511-6318446,20.68837,-63.31245
5000,HD9517,HD9517,22.90279,-64.61009
5000,LHS142,LHS142,23.10794,-21.90685
5000,G272-43,G272-43,23.49174,-17.64022
5000,UV Cet,UV Cet,24.76279,-17.94948
5000,LHS1289,LHS1289,25.81777,27.84203
5000,LHS6033,LHS6033,26.65419,-8.64973
40,01505688-5844032,2MASS J01505688-5844032,27.73739,-58.7343
5000,GJ3119,GJ3119,27.76794,-6.11851
5000,NSV15399,NSV15399,28.20667,-22.43486
5000,G272-115,G272-115,28.29787,-21.09521
40,02001277-0840516,2MASS J02001277-0840516,30.05346,-8.68122
5000,TZ Ari,TZ Ari,30.05618,13.0485
5000,GJ3125,GJ3125,30.47691,73.542
5000,LHS1343,LHS1343,31.7391,45.18358
5000,WW Ari,WW Ari,32.05217,15.14568
100,GJ3136,GJ3136,32.22412,49.44847
5000,G35-32,G35-32,32.921,18.56094
5000,GJ3142,GJ3142,33.22851,0.00472
40,02125819-5851182,2MASS J02125819-5851182,33.2425,-58.85506
5000,LHS1363,LHS1363,33.55307,-3.96231
5000,GJ3147,GJ3147,34.29271,35.44205
5000,NLTT7704,NLTT7704,35.09276,-8.14078
5000,GJ3151,GJ3151,35.10602,37.79172
40,02205139-5823411,2MASS J02205139-5823411,35.21451,-58.39478
5000,G173-53,G173-53,35.56164,47.8801
40,02242453-7033211,2MASS J02242453-7033211,36.10342,-70.5559
5000,G35-43,G35-43,36.2376,25.55099
5000,LHS1408,LHS1408,37.13411,-20.04025
5000,GJ102,GJ102,38.40501,24.92627
40,02341866-5128462,2MASS J02341866-5128462,38.57806,-51.47953
5000,BX Cet,BX Cet,39.06754,6.8748
40,GSC8056-0482,GSC8056-0482,39.21581,-52.05106
5000,LHS1427,LHS1427,39.44249,-7.09771
5000,LHS157,LHS157,39.96241,-34.13532
5000,G75-35,G75-35,40.31364,-4.53836
5000,VX Ari,VX Ari,41.06648,25.52266
5000,LTT1339,LTT1339,41.29472,-43.74293
5000,LP993-116,LP993-116,41.30963,-43.73617
40,02543316-5108313,2MASS J02543316-5108313,43.63845,-51.14208
5000,LP591-156,LP591-156,44.01666,-0.60908
5000,G75-55,G75-55,44.58369,-0.99318
5000,LHS1483,LHS1483,44.79564,36.61067
5000,LP771-72,LP771-72,45.65937,-18.16601
5000,G77-24,G77-24,46.8841,-6.61386
5000,NLTT9942,NLTT9942,46.94557,24.96519
5000,LP831-45,LP831-45,48.57626,-23.15794
5000,LTT1540,LTT1540,48.68641,-26.44605
5000,G78-24,G78-24,48.68751,48.51905
5000,G77-46,G77-46,50.44616,-6.67347
40,03244056-3904227,2MASS J03244056-3904227,51.16925,-39.07303
5000,NSV1166,NSV1166,52.3326,-11.67896
40,03315564-4359135,2MASS J03315564-4359135,52.98214,-43.98709
5000,LHS1572,LHS1572,54.54335,-68.94513
5000,G6-28,G6-28,55.93885,16.66663
5000,HD23453,HD23453,56.58475,26.2151
100,G80-21,G80-21,56.84763,-1.97274
5000,LHS183,LHS183,57.68379,-6.09711
5000,GJ3252,GJ3252,57.75023,-0.88016
5000,HIP18115,HIP18115,58.09746,-22.88212
5000,GJ3256,GJ3256,58.60663,-9.15868
5000,LHS1616,LHS1616,59.97471,26.08952
5000,LHS1628,LHS1628,61.64528,-20.85464
5000,LHS5094,LHS5094,66.6359,-30.80127
5000,LHS1672,LHS1672,67.14865,-25.17006
5000,NLTT13422,NLTT13422,67.71682,-8.8224
5000,CCDMJ04367-2722B,CCDMJ04367-2722B,69.1654,-27.36866
5000,CCDMJ04367-2722A,CCDMJ04367-2722A,69.16965,-27.3554
40,04365738-1613065,2MASS J04365738-1613065,69.23921,-16.21856
5000,LTT2050,LTT2050,69.424,-11.03925
5000,LP655-43,LP655-43,69.51041,-5.93736
90,LP655-48,LP655-48,70.09733,-5.50212
5000,G8-52,G8-52,70.59811,20.77621
5000,Gl176,Gl176,70.73375,18.956
300,NLTT13837,NLTT13837,71.03374,14.0227
100,NLTT14116,NLTT14116,73.10194,-16.82318
5000,LHS1712,LHS1712,73.45825,-17.77342
5000,G85-36,G85-36,75.31506,24.87273
5000,GJ3325,GJ3325,75.83323,-17.37441
5000,LHS28,LHS28,75.85381,53.12548
300,GJ3335,GJ3335,77.29183,15.4578
5000,G85-52,G85-52,78.17652,19.66613
5000,LHS1748,LHS1748,78.9445,-31.296
5000,LHS1749,LHS1749,79.00153,-72.23547
5000,LHS1767,LHS1767,82.7687,-30.19654
5000,GJ1083A,GJ 1083,85.10734,24.80177
5000,LTT2396,LTT2396,88.25118,-5.99552
5000,LHS1805,LHS1805,90.29606,59.59519
5000,LHS215,LHS215,92.58342,82.10416
5000,GJ3391,GJ3391,95.30456,44.24139
5000,LHS1840,LHS1840,95.47286,-22.72281
5000,LP160-22,LP160-22,95.96342,45.6675
5000,06334337-7537482,2MASS J06334337-7537482,98.42814,-75.62945
5000,06334690-7537301,2MASS J06334690-7537301,98.44292,-75.62465
100,CD-611439,CD-611439,99.95833,-61.47805
5000,LHS1864,LHS1864,100.95736,51.13746
5000,LHS1867,LHS1867,101.5302,32.55433
5000,GJ3423,GJ3423,105.84638,34.69777
5000,G250-34,G250-34,106.95868,67.20122
5000,G107-61,G107-61,109.53356,39.27459
1000,BD-201790,BD-201790,110.93162,20.41628
5000,BD+051668,BD+051668,111.8532,5.21861
5000,G111-5,G111-5,112.45149,41.22417
300,BL Lyn,BL Lyn,112.98827,36.22933
5000,GJ3454,GJ3454,114.10517,7.07806
5000,NLTT18210,NLTT18210,114.5401,-31.20493
5000,LHS1937,LHS1937,115.27804,17.64514
100,LP423-31,LP423-31,118.09996,16.20367
5000,GJ3478,GJ3478,121.4938,26.28133
5000,G111-56,G111-56,121.72992,42.29207
5000,GJ2066,GJ2066,124.03253,1.30269
5000,LHS2025,LHS2025,127.87952,73.06329
5000,LHS6149,LHS6149,128.60825,-1.14503
5000,LHS2029,LHS2029,129.28293,15.12757
5000,G114-10,G114-10,129.72672,-9.56664
5000,G114-14,G114-14,130.5966,-4.89911
5000,LHS2063,LHS2063,133.16916,28.3159
5000,NLTT20426,NLTT20426,133.18605,22.51426
5000,G41-8,G41-8,134.08146,12.66344
5000,LHS2078,LHS2078,134.66045,20.54641
5000,G41-14,G41-14,134.7354,8.47328
5000,LHS2090,LHS2090,135.09723,21.83369
5000,GJ1119,GJ1119,135.13424,46.58557
5000,LHS6167,LHS6167,138.90101,-10.59677
5000,G47-33,G47-33,139.69222,26.75246
5000,GJ3554,GJ3554,140.45383,43.50768
5000,G115-72,G115-72,140.71468,46.78336
5000,LP211-12,LP211-12,142.50725,39.62293
5000,LHS2149,LHS2149,142.68465,0.32158
5000,GJ353,GJ353,142.98422,36.31921
5000,GJ362,GJ362,145.71175,70.0389
5000,LHS273,LHS273,146.19386,-18.21393
5000,NLTT22440,NLTT22440,146.28466,71.74734
5000,LHS2188,LHS2188,146.70273,76.04198
5000,LP728-70,LP728-70,147.66923,-13.81092
5000,LP788-49,LP788-49,147.84814,-17.73986
5000,GJ3571,GJ3571,148.47943,20.94692
5000,GJ3572,GJ3572,148.93162,35.36111
5000,Gl373,Gl373,149.03483,62.78733
5000,NLTT23164,NLTT23164,150.52396,69.75774
5000,G43-23,G43-23,150.67726,14.98639
5000,LHS2220,LHS2220,151.68188,41.71382
5000,G162-25,G162-25,153.07333,-3.74614
5000,NLTT24199,NLTT24199,155.96649,43.89254
5000,LHS2259,LHS2259,156.2938,-10.22846
5000,LHS2260,LHS2260,156.37576,26.38752
100,BD+012447,BD+012447,157.23029,0.83959
5000,LHS283,LHS283,158.85442,69.44861
5000,G196-37,G196-37,159.20144,50.91737
5000,NLTT24892,NLTT24892,159.47988,12.77695
5000,LHS2295,LHS2295,159.91762,-6.92397
5000,LHS2317,LHS2317,162.60849,33.10022
5000,Wolf358,Wolf358,162.71512,6.80652
5000,LHS2334,LHS2334,164.4052,69.59672
5000,Gl408,Gl408,165.01684,22.83241
300,HD95650,HD95650,165.66006,21.96704
5000,G56-11,G56-11,165.7844,15.29757
300,NLTT26114,NLTT26114,165.83817,13.63266
5000,Gl412B,Gl412B,166.36894,43.52326
5000,G163-51,G163-51,167.02714,-5.23062
5000,LP214-42,LP214-42,167.20536,39.91998
5000,G163-53,G163-53,167.30035,-4.60716
5000,LHS2367,LHS2367,167.77289,30.44563
300,CW UMa,CW UMa,167.96518,33.53671
300,111300.1-102518,1RXS J111300.1+102518,168.25272,10.41805
5000,G122-8,G122-8,168.86102,41.08741
5000,LP792-17,LP792-17,170.24922,-17.03051
5000,LHS2403,LHS2403,171.25079,43.32725
5000,LP792-33,LP792-33,173.0795,-16.96916
5000,LHS2427,LHS2427,173.65689,-23.87146
5000,G197-21,G197-21,174.41126,58.71135
5000,GJ3684,GJ3684,176.77071,70.03291
5000,GJ445,GJ445,176.92978,78.6921
5000,GJ447,GJ447,176.9362,0.8022
5000,LHS2460,LHS2460,177.0795,-11.28743
300,G10-52,G10-52,177.14814,7.69424
5000,Gl450,Gl450,177.77992,35.27251
5000,NLTT29087,NLTT29087,179.47241,-23.81696
5000,LHS2497,LHS2497,180.57404,28.58721
5000,LP734-30,LP734-30,182.1956,-10.26717
5000,LHS2516,LHS2516,182.27922,47.60089
5000,LHS2520,LHS2520,182.52319,-15.0724
5000,LP734-34,LP734-34,182.61857,-13.17386
5000,LP794-30,LP794-30,182.79855,-19.96093
5000,G197-49,G197-49,183.08769,54.48593
5000,GJ1154,GJ1154,183.56705,0.62344
5000,GJ1156,GJ1156,184.74498,11.12647
5000,G148-43,G148-43,184.77429,31.84539
5000,LHS2544,LHS2544,184.84893,28.38251
5000,G237-61,G237-61,185.44641,68.26814
5000,G13-33,G13-33,185.71034,-4.07966
5000,G13-39,G13-39,186.93575,-3.25024
300,GJ3729,GJ3729,187.26157,41.73004
5000,Wolf424,Wolf424,188.31902,9.02144
5000,LP795-38,LP795-38,189.33978,-20.87722
5000,LHS2613,LHS2613,190.70677,41.89645
5000,LHS5226,LHS5226,191.00222,-11.17535
5000,LHS2634,LHS2634,191.78974,-3.5716
5000,G14-6,G14-6,192.68147,-0.7689
5000,LP854-3,LP854-3,194.05512,-22.08333
300,NSV6039,NSV6039,194.41333,35.22178
150,BF CVn,BF CVn,194.41712,35.22465
5000,LHS5231,LHS5231,194.82633,-0.17695
5000,G14-18,G14-18,195.01591,-5.62986
5000,GJ493.1,GJ493.1,195.13778,5.686
5000,G14-34,G14-34,197.21273,-1.51876
300,GJ1167A,GJ1167A,197.39546,28.98506
5000,LHS2686,LHS2686,197.55101,47.75408
5000,LHS2695,LHS2695,198.26868,20.19097
5000,NLTT33417,NLTT33417,198.59759,66.37588
5000,G164-62,G164-62,199.49314,36.29848
5000,LHS2724,LHS2724,200.24302,34.27837
5000,Gl514,Gl514,202.50134,10.37508
5000,BPSBS16078-0011,BPS BS 16078-0011,202.9437,29.27657
5000,NLTT34410,NLTT34410,203.16287,30.98511
5000,G62-64,G62-64,205.60792,-1.68658
5000,NSV6431,NSV6431,206.43598,14.88869
5000,G150-46,G150-46,208.151,14.42172
5000,LP220-13,LP220-13,209.17163,43.71646
5000,LP739-2,LP739-2,209.5669,-12.04969
5000,LP739-3,LP739-3,209.58219,-13.27368
5000,GJ3820,GJ3820,209.79243,-19.83465
5000,LHS2842,LHS2842,210.26169,-2.6537
5000,GJ3822,GJ3822,210.58196,13.68937
5000,LHS2864,LHS2864,211.94767,57.19627
5000,LHS2866,LHS2866,212.09124,75.85279
5000,GQ Vir,GQ Vir,213.26928,-12.02471
5000,GJ3839,GJ3839,214.26095,31.71283
5000,LP381-49,LP381-49,215.58323,23.87649
5000,LP800-58,LP800-58,216.30493,-16.41551
5000,LHS373,LHS373,217.37162,15.53517
5000,GJ3856,GJ3856,218.0453,16.0136
5000,NLTT38526,NLTT38526,222.54636,32.30442
