HIP,Age,Age_lolim,Age_hilim
14023,3.45,1.36,5.03
13679,1.57,0.22,0.25
16738,2.45,0.19,0.42
15206,4.6,0.54,0.65
15565,4.55,0.58,0.18
12114,5.1,1.1,1.1
12272,2.1,0.37,0.3
13366,11.72,1.35,1.23
15249,10.61,1.31,1.65
14614,8.11,1.66,1.33
13702,0.8,0.3,0.3
17336,4.75,1.92,3.17
19696,10.16,2.05,0.81
19076,2.03,0.76,2.21
16405,5.04,1.8,1.36
15062,4.06,1.61,3.55
14810,8.67,2.5,2.27
16072,10.16,6.53,2.3
11309,4.91,0.29,0.28
10710,6.35,2.6,3.13
11584,4.2,0.79,0.35
11728,3.07,1.3,2.88
7981,4.1,0.9,0.9
10306,3.5,0.83,0.15
11237,6.62,0.84,0.79
11670,1.67,0.17,0.14
9829,12.92,3.27,0.8
9683,2.41,0.81,2.01
10535,2.15,0.31,0.39
14594,11.65,1.82,2.26
15323,3.14,1.91,0.53
15191,2.1,0.2,0.08
11548,6.06,0.23,0.21
12200,3.67,0.15,0.21
22060,6.61,4.01,1.47
19793,2.58,1.1,1.94
20904,3.45,0.62,0.35
20094,13.14,5.4,0.28
21167,5.92,0.2,0.81
23080,,,
24332,4.81,1.43,1.39
24813,6.55,0.84,1.17
21832,14.14,3.2,0.12
17747,3.55,0.34,0.35
19335,0.2,0.1,0.1
19631,8.24,0.69,0.96
20753,5.15,0.3,0.53
17666,,,
17655,7.99,1.08,1.32
20298,11.65,4.5,0.57
17022,7.4,0.48,0.69
16499,1.77,0.15,0.16
17409,10.27,0.95,0.94
17231,6.08,0.89,0.88
18366,6.01,0.85,0.64
22596,12.46,1.44,1.08
21227,5.09,2.08,1.08
25052,8.27,1.49,0.92
26779,0.4,0.1,0.1
25973,5.3,0.26,0.26
22020,9.28,1.68,1.09
23922,11.65,2.93,1.75
25414,5.09,2.46,2.4
6669,2.19,0.25,0.32
6975,8.04,0.42,1.36
7244,4.38,2.07,2.09
6643,4.49,0.2,1.44
8796,2.01,0.23,0.27
7245,3.45,1.22,2.76
7612,6.87,0.26,0.98
8433,5.95,0.18,0.6
5682,4.95,1.11,0.24
8476,11.68,1.18,0.86
10644,11.89,1.4,1.57
10711,,,
10321,0.4,0.1,0.1
12181,2.33,0.33,0.42
12191,4.9,1.23,0.24
9172,1.65,0.89,1.65
7513,3.2,0.13,1.17
7918,6.75,1.37,1.0
8370,,,
10830,2.77,0.3,0.3
4457,5.89,1.02,0.17
3206,4.94,1.82,6.4
5441,5.7,0.83,0.25
4127,6.76,0.47,0.38
1686,1.8,0.14,0.2
1411,4.84,2.61,2.67
