Name,Plx,Age,Age_lo1sig,Age_hi1sig,Age_lo2sig,Age_hi2sig
"HIP 14023 ",32.14,3.45,1.83,7.17,0.78,10.32
"HIP 11728 ",25.11,2.1,1.33,4.76,0.59,6.54
"HIP 7981  ",132.76,4.27,2.92,10.34,1.21,13.56
"HIP 12306 ",29.17,12.34,11.05,13.61,9.74,14.53
"HIP 21847 ",31.38,5.45,4.36,5.74,3.79,6.05
"HIP 23080 ",29.42,,11.65,14.36,9.44,14.68
"HIP 24813 ",79.17,6.48,5.36,7.75,4.29,8.81
"HIP 17666 ",45.65,13.14,4.75,13.15,1.55,14.42
"HIP 18366 ",26.38,6.0,5.08,6.23,4.38,6.69
"HIP 22596 ",33.13,12.24,11.49,13.24,10.61,14.04
"HIP 26779 ",81.45,3.76,2.4,8.14,1.25,10.97
"HIP 8433  ",35.9,6.4,6.15,6.72,5.83,6.97
"HIP 10644 ",92.73,13.41,9.91,13.77,7.47,14.54
"HIP 7513  ",74.12,4.5,3.47,4.78,3.16,5.12
"HIP 7918  ",78.5,6.2,4.5,7.31,3.17,8.64
"HIP 3206  ",57.71,3.45,2.76,10.2,1.03,13.53
"HIP 5336  ",132.38,,7.99,13.78,3.98,14.51
"HIP 3821  ",167.98,7.42,4.04,7.69,2.3,9.58
"HIP 4151  ",53.35,3.4,3.33,4.71,3.04,5.12
"HIP 14632 ",94.87,5.58,4.41,6.26,3.78,7.05
"HIP 12777 ",89.87,2.19,1.27,2.85,0.53,3.44
"HIP 14286 ",41.27,12.76,10.98,13.11,9.82,14.12
"HIP 18413 ",45.49,14.5,12.47,14.49,11.16,14.79
"HIP 21921 ",27.29,,11.07,14.26,8.44,14.63
"HIP 8362  ",99.33,6.43,2.69,10.37,0.86,13.56
"HIP 7902  ",26.84,8.98,8.09,10.6,6.64,11.76
"HIP 3132  ",30.07,7.65,7.22,8.43,6.62,8.87
"HIP 39780 ",42.94,5.64,5.5,5.99,5.15,6.13
"HIP 40843 ",54.73,3.39,2.57,3.7,1.86,4.67
"HIP 43587 ",81.03,8.67,4.38,11.71,1.58,14.03
"HIP 50319 ",32.08,6.44,6.03,6.74,5.75,7.14
"HIP 50355 ",25.74,7.02,5.47,8.11,3.82,9.28
"HIP 53721 ",71.11,6.33,4.99,7.27,3.87,8.44
"HIP 47080 ",87.96,4.39,3.23,7.15,1.22,9.38
"HIP 48833 ",35.53,3.75,2.92,3.9,2.6,4.2
"HIP 48113 ",54.44,6.45,5.63,6.83,4.67,7.18
"HIP 51248 ",43.65,12.03,10.18,13.7,8.27,14.56
"HIP 51459 ",78.25,0.8,0.67,3.05,0.42,4.08
"HIP 56290 ",35.73,5.16,4.83,5.3,4.7,5.62
"HIP 36874 ",25.58,8.54,7.88,9.71,6.98,10.46
