main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode
HD  95735,165.8341416617166,35.96988004436544,HD  95735,GJ   411,HIP  54035,,M2+V,1989ApJS...71..245K,392.64,0.67,2007A&A...474..653V,7.52,0.009,1985A&AS...61..331O,,,,4.79,,2002yCat.2237....0D,5.99,,2002yCat.2237....0D
Ross  154,282.4556825032537,-23.8362371023813,,GJ   729,HIP  92403,,M3.5Ve,2015AJ....149..106D,336.1228,0.0641,2018yCat.1345....0G,10.495,,2010MNRAS.403.1949K,9.1259,8.0E-4,2018yCat.1345....0G,7.703,0.02,2012AcA....62...67K,9.278,,2010MNRAS.403.1949K
HD 217987,346.4668143939675,-35.8530718770889,HD 217987,GJ   887,HIP 114046,,M2V,2006A&A...460..695T,304.219,0.0451,2018yCat.1345....0G,7.34,,,6.522,9.0E-4,2018yCat.1345....0G,,,,,,
Ross  128,176.93498694507085,0.8045569253625001,,GJ   447,HIP  57548,,M4V,2002AJ....123.2002H,296.3073,0.0699,2018yCat.1345....0G,11.153,0.002,1992AJ....104..340L,9.5907,0.0011,2018yCat.1345....0G,8.184,0.0028,2009AJ....137.4186L,9.859,0.0028,2009AJ....137.4186L
V* YZ Cet,18.127653225566668,-16.998989253802776,,GJ    54.1,HIP   5643,,M4.0Ve,2015AJ....149..106D,269.3628,0.0785,2018yCat.1345....0G,12.074,,2010MNRAS.403.1949K,10.4294,6.0E-4,2018yCat.1345....0G,8.938,,2010MNRAS.403.1949K,10.696,,2010MNRAS.403.1949K
BD+05  1668,111.852082285317,5.22578698727799,,GJ   273,HIP  36208,,M3.5V,1991ApJS...77..417K,262.98,1.39,2007A&A...474..653V,9.872,,2010MNRAS.403.1949K,8.5945,3.0E-4,2018yCat.1345....0G,7.161,,2010MNRAS.403.1949K,8.699,,2010MNRAS.403.1949K
GJ   191,77.91912215644167,-45.01843165440944,HD  33793,GJ   191,HIP  24186,,M1VIp,1989ApJS...71..245K,254.2263,0.0263,2018yCat.1345....0G,8.853,,2010MNRAS.403.1949K,8.062,6.0E-4,2018yCat.1345....0G,6.899,,2010MNRAS.403.1949K,7.9,,2010MNRAS.403.1949K
V* AX Mic,319.3136202402064,-38.8673638951696,HD 202560,GJ   825,HIP 105090,,M1V,1989ApJS...71..245K,251.8295,0.0559,2018yCat.1345....0G,6.68,,,5.9751,6.0E-4,2018yCat.1345....0G,,,,,,
BD-12  4523,247.57524250445124,-12.662589787552221,,GJ   628,HIP  80824,,M3V,2002AJ....123.2002H,232.2095,0.063,2018yCat.1345....0G,10.072,0.0021,2009AJ....137.4186L,8.7944,7.0E-4,2018yCat.1345....0G,7.421,0.0021,2009AJ....137.4186L,8.917,0.0021,2009AJ....137.4186L
HD 225213,1.3517825075543999,-37.3573622843636,HD 225213,GJ     1,HIP    439,,M2V,1982MSS...C03....0H,230.1331,0.06,2018yCat.1345....0G,8.562,,2010MNRAS.403.1949K,7.6819,9.0E-4,2018yCat.1345....0G,6.432,,2010MNRAS.403.1949K,7.589,,2010MNRAS.403.1949K
