main_id,ids,ra,dec,sp_type,plx_value,plx_err,V,G
* eps Eri,"HD  22049, GJ   144, WDS J03329-0927Aa,Ab, WDS J03329-0927A",53.232687347500004,-9.458258656944444,K2V,310.94,0.16,3.7300000190734863,3.3691000938415527
* tau Cet,"WDS J01441-1556A, HD  10700, GJ    71",26.017014260833335,-15.937479597777779,G8V,273.96,0.17,3.5,3.1335999965667725
* e Eri,"HD  20794, GJ   139",49.981878896666665,-43.069782637500005,G6V,165.47,0.19,4.269999980926514,3.9814000129699707
* del Pav,"HD 190248, GJ   780",302.18170612375,-66.1820675763889,G8IV,163.71,0.17,3.559999942779541,3.266400098800659
HD 219134,"GJ   892, HD 219134, WDS J23133+5710A",348.32072825875497,57.16835458916472,K3V,153.0808,0.0895,5.570000171661377,5.207900047302246
* bet Hyi,"GJ    19, HD   2151",6.4377931550222804,-77.25424611998604,G0V,134.07,0.11,2.7899999618530273,2.527100086212158
HD 157881,"GJ   673, HD 157881",261.4384679348621,2.1114232411388,K7V,129.6231,0.0286,7.559999942779541,6.926499843597412
HD 217357,"HD 217357, GJ   884",345.0671769879931,-22.5243476190278,K7+Vk,121.4918,0.0507,7.86899995803833,7.252099990844727
*  61 Vir,"GJ   506, HD 115617, WDS J13184-1819A",199.60130948166668,-18.311195735555557,G6.5V,116.89,0.22,4.739999771118164,4.477200031280518
* zet Tuc,"GJ    17, HD   1581",5.017749880416666,-64.87479298888888,F9.5V,116.46,0.16,4.230000019073486,3.9872000217437744
HD 192310,"GJ   785, HD 192310",303.82246523275126,-27.03297599572111,K2+V,113.6481,0.1186,5.7230000495910645,5.453199863433838
HD  32147,"GJ   183, HD  32147",75.2041630608936,-5.7536723172099,K3+V,113.0236,0.0324,6.210000038146973,5.8694000244140625
* del Eri,"GJ   150, HD  23249",55.81208699458334,-9.763391234444445,K0+IV,110.61,0.22,3.5399999618530273,3.134700059890747
HD 103095,"HD 103095, GJ   451",178.2448682506475,37.7186778007958,K1V_Fe-1.5,108.9551,0.049,6.449999809265137,6.182000160217285
* gam Pav,"HD 203608, GJ   827",321.6108534883333,-65.36619846777778,F9VFe-1.4CH-0.7,107.97,0.19,4.21999979019165,4.00029993057251
HD 151288,"HD 151288, GJ   638",251.276460742948,33.5092260787878,K7.5Ve,101.5116,0.0281,8.798999786376953,7.481299877166748
HD 122064,HD 122064,209.3835798891534,61.4928609327902,K3V,99.2285,0.0232,6.519999980926514,6.154200077056885
HD 103932,"HD 103932, GJ   453",179.4841931766843,-27.7070456229115,K4+V,98.1908,0.0413,6.964000225067139,6.565400123596191
* alf Men,"HD  43834, GJ   231",92.5603088308903,-74.7530454408681,G7V,97.8983,0.0719,5.090000152587891,4.850299835205078
BD+36  2393,GJ   519,204.3698691881367,35.7177624393468,K7.5Ve,91.2519,0.0353,9.069999694824219,8.356800079345703
HD 166620,"HD 166620, GJ   706",272.4059011711959,38.4577766448776,K2V,90.1264,0.02,6.400000095367432,6.112599849700928
*  54 Psc,"WDS J00394+2115A, GJ    27, HD   3651",9.840856297512085,21.250476681314446,K0.5V,89.7891,0.0581,5.880000114440918,5.635000228881836
HD  74576,"GJ   320, HD  74576",130.8251266689107,-38.8823805626667,K3V,89.3972,0.0254,6.559999942779541,6.269599914550781
HD  85512,"HD  85512, GJ   370",147.77938346115084,-43.502783875244724,K6Vk:,88.6158,0.0406,7.651000022888184,7.187300205230713
V* V2689 Ori,"HD 245409, GJ   208",84.129126793325,11.3278699997849,K6V,87.4367,0.0562,8.89799976348877,8.208000183105469
HD 222237,"GJ   902, HD 222237",354.9057797135815,-72.7221548166411,K3+V,87.3306,0.0259,7.086999893188477,6.7399001121521
HD 125072,"HD 125072, GJ   542",214.7701422364245,-59.3790375076325,K3IV,84.4535,0.0349,6.659999847412109,6.339099884033203
HD  72673,"GJ   309, HD  72673",128.2145659631339,-31.500850807352,K1V,82.09,0.0294,6.380000114440918,6.151000022888184
HD 196877,"HD 196877, GJ   798",310.5782615364371,-52.6992651435641,K7V,81.12,0.048,8.819999694824219,8.237099647521973
HD  21531,"GJ   142, HD  21531",51.96835847044505,-19.804483578400866,K5V,80.04,0.99,8.366999626159668,7.811100006103516
HD  69830,"HD  69830, GJ   302",124.59977903853625,-12.632169500714445,G8:V,79.5945,0.0607,5.949999809265137,5.739299774169922
