recno,Star,Teff,e_Teff,logg,e_logg,Vt,e_Vt,[Fe/H],e_[Fe/H],Mass,e_Mass,Age,e_Age,_RA,_DE
1,"HD 55     ",4554,88,4.54,0.21,0.06,1.63,-0.67,0.01,,,4.531,3.824,1.3237,-67.83259
2,"HD 142    ",6431,123,4.82,0.11,2.1,0.28,0.05,0.08,1.23,0.033,1.12,0.904,1.5799,-49.07519
3,"HD 283    ",5135,24,4.49,0.07,0.47,0.06,-0.55,0.01,0.717,0.015,5.167,4.107,1.88559,-23.81872
4,"HD 361    ",5888,14,4.54,0.08,1.03,0.03,-0.13,0.01,1.029,0.011,0.356,0.283,2.06818,-14.82449
5,"HD 750    ",5069,32,4.33,0.1,0.66,0.07,-0.3,0.02,0.752,0.017,4.825,4.118,2.89914,-57.47255
6,"HD 870    ",5360,24,4.4,0.08,0.79,0.04,-0.12,0.02,0.859,0.016,1.594,1.591,3.20937,-57.91261
7,"HD 967    ",5595,18,4.59,0.02,0.9,0.05,-0.66,0.01,0.764,0.018,7.775,3.945,3.51866,-11.31159
8,"HD 1237   ",5489,40,4.46,0.11,1.04,0.06,0.06,0.03,0.924,0.019,1.765,1.696,4.05282,-79.85118
9,"HD 1320   ",5699,13,4.55,0.05,0.89,0.02,-0.26,0.01,0.912,0.021,2.388,2.005,4.31886,-43.85273
10,"HD 1388   ",5970,15,4.42,0.05,1.13,0.02,0.0,0.01,1.061,0.013,3.005,0.802,4.49529,-13.45564
11,"HD 1461   ",5740,16,4.36,0.03,0.94,0.02,0.18,0.01,1.05,0.016,1.967,1.153,4.67445,-8.053
12,"HD 1581   ",5990,15,4.49,0.07,1.24,0.03,-0.18,0.01,1.026,0.016,2.191,1.052,5.01775,-64.87479
13,"HD 2025   ",4851,49,4.49,0.13,0.51,0.18,-0.37,0.02,0.706,0.008,4.557,4.047,6.10805,-27.02677
14,"HD 2071   ",5729,13,4.49,0.02,0.93,0.02,-0.08,0.01,0.987,0.012,0.872,0.591,6.17729,-53.984
15,"HD 2638   ",5169,77,4.41,0.15,0.66,0.13,0.12,0.05,0.852,0.026,4.038,3.838,7.49947,-5.764
16,"HD 3569   ",5093,26,4.43,0.06,0.39,0.08,-0.34,0.02,0.747,0.016,4.98,4.193,9.6385,-12.17242
17,"HD 3823   ",6054,18,4.37,0.06,1.44,0.04,-0.26,0.01,1.014,0.022,7.55,0.728,10.10696,-59.4546
18,"HD 4208   ",5600,16,4.41,0.07,0.88,0.03,-0.29,0.01,0.852,0.025,5.685,3.913,11.11105,-26.51568
19,"HD 4307   ",5840,18,4.13,0.03,1.24,0.03,-0.21,0.01,0.994,0.01,9.804,0.221,11.36953,-12.88081
20,"HD 4308   ",5662,13,4.44,0.06,0.89,0.03,-0.32,0.01,0.842,0.0,11.745,0.034,11.16361,-65.64952
21,"HD 4915   ",5660,13,4.5,0.07,0.9,0.02,-0.21,0.01,0.938,0.011,0.409,0.35,12.7952,-5.03928
22,"HD 6348   ",5080,22,4.47,0.05,0.33,0.09,-0.59,0.01,0.706,0.01,4.555,4.094,16.1103,-2.36659
23,"HD 6673   ",4875,49,4.39,0.12,0.38,0.18,-0.28,0.02,0.723,0.015,4.62,4.048,16.69762,-50.98945
24,"HD 6735   ",6111,20,4.56,0.04,1.13,0.03,-0.04,0.01,1.112,0.008,0.222,0.13,16.88355,-41.7467
25,"HD 7134   ",5979,16,4.49,0.05,1.25,0.03,-0.27,0.01,0.945,0.012,7.567,1.074,17.88367,-12.84308
26,"HD 7199   ",5292,49,4.21,0.12,0.9,0.08,0.25,0.03,0.908,0.027,5.699,4.247,17.69675,-66.18817
27,"HD 7449   ",6040,15,4.53,0.05,1.17,0.02,-0.1,0.01,1.079,0.011,0.571,0.428,18.62217,-5.04739
28,"HD 8326   ",4834,67,4.35,0.17,0.44,0.22,0.04,0.03,0.78,0.018,4.399,4.001,20.53172,-26.8931
29,"HD 8406   ",5731,10,4.52,0.03,0.87,0.02,-0.1,0.01,0.988,0.019,0.818,0.877,20.75364,-16.48746
30,"HD 8638   ",5508,16,4.45,0.05,0.81,0.04,-0.4,0.01,0.795,0.017,8.08,4.126,21.20503,-27.83904
31,"HD 8828   ",5369,18,4.4,0.04,0.72,0.03,-0.18,0.01,0.845,0.023,3.202,3.29,21.75644,-0.15759
32,"HD 8859   ",5495,17,4.4,0.04,0.79,0.03,-0.09,0.01,0.889,0.027,4.56,3.986,21.70519,-29.47497
33,"HD 8912   ",5178,30,4.4,0.08,0.7,0.06,-0.09,0.02,0.821,0.02,3.699,3.59,21.86339,-25.9369
34,"HD 9246   ",4976,30,4.52,0.07,0.33,0.15,-0.56,0.02,0.701,0.003,4.314,3.998,22.60402,-29.25887
35,"HD 9782   ",6013,18,4.38,0.07,1.08,0.03,0.09,0.01,1.12,0.014,1.164,0.827,23.85962,-13.38103
36,"HD 9796   ",5139,32,4.34,0.08,0.49,0.08,-0.25,0.02,0.776,0.018,5.845,4.438,23.83738,-21.2011
37,"HD 10002  ",5230,44,4.28,0.09,0.72,0.08,0.13,0.03,0.88,0.026,4.984,4.229,24.28595,-29.39326
38,"HD 10166  ",5187,30,4.44,0.06,0.57,0.08,-0.39,0.02,0.754,0.016,3.111,3.218,24.74103,-27.25221
39,"HD 10180  ",5898,13,4.39,0.05,1.08,0.02,0.08,0.01,1.062,0.011,3.206,0.759,24.47324,-60.51153
42,"HD 11226  ",6112,14,4.35,0.03,1.33,0.02,0.05,0.01,1.136,0.007,3.225,0.382,27.56437,-6.70409
43,"HD 11505  ",5757,15,4.39,0.03,0.99,0.03,-0.22,0.01,0.882,0.006,11.25,0.586,28.27583,-1.32694
44,"HD 11683  ",4957,40,4.35,0.12,0.71,0.09,-0.27,0.02,0.738,0.015,4.491,4.015,28.59246,-15.72398
45,"HD 12345  ",5386,25,4.42,0.06,0.7,0.05,-0.22,0.02,0.833,0.024,4.024,3.673,30.20313,-12.87498
