recno,Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,_RA,_DE
1,HD 100623,5140,60,0.72,0.04,4.56,0.05,-0.36,0.05,0.75,0.04,9.81,0.5,104.6,6.0,"A,1",1,173.62286,-32.83134
2,HD 101904,5883,60,1.54,0.19,4.1,0.05,0.12,0.05,1.12,0.09,9.8,0.11,12.5,8.2,"A,1",1,176.00117,64.9642
3,HD 102195,5277,60,0.85,0.05,4.5,0.05,0.1,0.05,0.89,0.04,9.74,0.49,34.0,8.1,"A,1",1,176.42622,2.82148
4,HD 102444,5227,60,2.67,0.39,3.6,0.05,0.0,0.05,1.02,0.21,9.98,0.27,8.5,8.0,"A,1",1,176.88109,-5.26362
5,HD 102956,4985,60,3.79,0.47,3.38,0.05,0.26,0.05,1.3,0.15,9.7,0.17,8.1,7.9,"A,1",1,177.8438,57.64073
6,HD 103459,5722,60,1.71,0.21,4.03,0.05,0.24,0.05,1.15,0.12,9.81,0.15,16.0,7.6,"A,2",1,178.71649,-1.45149
7,HD 103890,6120,60,1.43,0.16,4.19,0.05,0.03,0.05,1.17,0.07,9.63,0.09,13.7,8.0,"A,1",1,179.44244,-8.27528
8,HD 104437,5761,60,1.03,0.09,4.4,0.05,0.17,0.05,1.03,0.04,9.64,0.35,16.6,8.6,"A,1",1,180.42003,39.58659
9,HD 106088,5470,60,2.07,0.26,3.87,0.05,0.34,0.05,1.23,0.12,9.75,0.13,10.3,8.4,"A,1",1,183.10271,19.80102
10,HD 107181,5628,60,1.64,0.21,4.05,0.05,0.31,0.05,1.13,0.12,9.86,0.15,12.5,8.4,"A,1",1,184.86392,-26.10737
11,HD 108189,5373,60,2.89,0.41,3.56,0.05,0.03,0.05,1.15,0.21,9.81,0.23,7.5,7.7,"A,1",1,186.41909,-0.28218
12,HD 108863,4878,60,5.59,0.66,3.08,0.05,0.2,0.05,1.37,0.14,9.61,0.15,5.8,7.7,"A,1",1,187.58296,21.94824
13,HD 109159,5151,60,2.57,0.32,3.6,0.05,-0.08,0.05,0.93,0.13,10.09,0.17,9.7,8.0,"A,1",1,188.17179,-17.22068
14,HD 109749,5825,60,1.31,0.15,4.24,0.05,0.24,0.05,1.1,0.08,9.78,0.13,15.9,8.1,"A,1",1,189.31824,-40.81212
15,HD 10995,5688,60,2.87,0.34,3.67,0.05,0.1,0.05,1.45,0.19,9.5,0.17,11.0,7.3,"A,1",1,27.08668,17.02276
16,HD 110463,4906,60,0.76,0.03,4.55,0.05,0.06,0.05,0.8,0.04,9.73,0.52,44.1,8.3,"A,1",1,190.43551,55.72467
17,HD 110537,5718,60,1.14,0.11,4.3,0.05,0.08,0.05,0.99,0.04,9.92,0.13,21.5,7.8,"A,2",1,190.74719,-4.04933
18,HD 110743,5198,60,0.84,0.05,4.47,0.05,0.01,0.05,0.84,0.04,9.98,0.4,22.9,8.8,"A,2",1,190.97652,34.34372
19,HD 110833,4999,60,0.8,0.04,4.51,0.05,0.18,0.05,0.83,0.04,9.86,0.5,66.4,7.0,"A,2",1,191.0606,51.7593
20,HD 111814,5646,60,1.94,0.24,3.93,0.05,0.22,0.05,1.2,0.11,9.76,0.14,12.4,8.1,"A,1",1,192.93984,19.22883
21,HD 112415,5574,60,1.23,0.13,4.25,0.05,0.28,0.05,1.0,0.06,9.99,0.13,14.8,8.7,"A,1",1,194.08818,6.89312
22,HD 112914,4816,60,0.7,0.03,4.51,0.05,-0.26,0.05,0.71,0.03,10.0,0.45,41.4,8.6,"A,2",1,194.88659,41.98676
23,HD 114659,4838,60,5.45,0.72,3.08,0.05,0.17,0.05,1.34,0.2,9.64,0.22,5.1,8.3,"A,1",1,197.95297,12.73044
24,HD 116442,5155,60,0.72,0.04,4.54,0.05,-0.38,0.05,0.74,0.04,9.88,0.49,59.7,7.1,"A,1",1,200.91314,2.72333
25,HD 122253,5007,60,3.78,0.52,3.36,0.05,0.03,0.05,1.24,0.21,9.72,0.25,9.0,7.8,"A,1",1,209.923,42.04981
26,HD 122973,5989,60,1.07,0.06,4.46,0.05,0.2,0.05,1.12,0.04,9.2,0.25,20.6,8.1,"A,2",1,211.29454,-9.04851
27,HD 123239,4795,60,5.96,0.89,2.94,0.05,-0.05,0.05,1.18,0.24,9.78,0.29,6.5,8.4,"A,2",1,211.68781,-14.09527
28,HD 124257A,5911,60,1.46,0.16,4.15,0.05,0.15,0.05,1.13,0.08,9.76,0.11,8.7,9.2,"A,1",1,212.75412,50.25232
29,HD 125607,4985,60,3.91,0.51,3.35,0.05,0.1,0.05,1.26,0.18,9.71,0.22,4.8,8.1,"A,1",1,214.86337,37.60997
30,HD 126583,5482,60,0.88,0.06,4.49,0.05,0.0,0.05,0.92,0.04,9.65,0.45,28.7,8.1,"A,1",1,216.49273,13.43326
31,HD 128311,4918,60,0.79,0.04,4.49,0.05,0.19,0.05,0.81,0.04,9.95,0.49,60.4,7.4,"A,2",1,219.00233,9.74652
32,HD 130048,4964,60,6.29,0.71,3.02,0.05,0.28,0.05,1.52,0.13,9.47,0.13,5.4,7.1,"A,1",1,221.55626,-7.79695
33,HD 130307,4985,60,0.74,0.04,4.56,0.05,-0.13,0.05,0.78,0.04,9.74,0.51,50.8,7.8,"A,2",1,221.81709,2.70322
34,HD 131511,5259,60,0.86,0.06,4.47,0.05,0.13,0.05,0.88,0.04,9.9,0.46,86.7,6.0,"A,2",1,223.34903,19.1528
35,HD 131582,4728,60,0.67,0.03,4.52,0.05,-0.33,0.05,0.68,0.03,10.0,0.46,40.9,8.6,"A,1",1,223.42321,23.34519
36,HD 132254,6157,60,1.55,0.19,4.14,0.05,0.16,0.05,1.26,0.08,9.56,0.08,39.7,5.6,"A,1",1,224.096,49.62845
37,HD 133125,5506,60,0.86,0.06,4.49,0.05,-0.13,0.05,0.89,0.04,9.71,0.44,17.7,8.8,"A,2",1,225.57969,19.39059
38,HD 135101A,5677,60,1.28,0.14,4.2,0.05,0.04,0.05,0.98,0.05,10.01,0.09,30.7,6.7,"A,1",1,228.18117,19.28604
39,HD 135872,4992,60,3.37,0.46,3.44,0.05,0.12,0.05,1.16,0.2,9.84,0.25,11.7,7.3,"A,1",1,229.42172,-5.20242
40,HD 137778,5128,60,0.83,0.05,4.52,0.05,0.27,0.05,0.89,0.04,9.66,0.5,48.1,7.5,"A,2",1,232.05088,-9.35786
41,HD 13871,6416,60,1.94,0.24,4.03,0.05,0.27,0.05,1.49,0.1,9.34,0.08,24.9,5.8,"A,2",1,33.94187,25.78294
42,HD 1388,5925,60,1.15,0.12,4.32,0.05,0.03,0.05,1.06,0.05,9.71,0.21,36.7,6.5,"A,1",1,4.4953,-13.45564
43,HD 13931,5853,60,1.2,0.12,4.28,0.05,0.05,0.05,1.04,0.05,9.82,0.12,21.4,7.6,"A,1",1,34.19741,43.773
44,HD 144872,4781,60,0.69,0.03,4.52,0.05,-0.25,0.05,0.7,0.03,9.97,0.47,43.1,8.6,"A,1",1,241.62333,38.63224
45,HD 14655,5755,60,1.97,0.23,3.92,0.05,0.12,0.05,1.23,0.12,9.7,0.13,9.8,8.2,"A,2",1,35.41098,-15.76798
46,HD 14787,4946,60,4.45,0.59,3.23,0.05,0.03,0.05,1.28,0.2,9.67,0.23,8.4,7.6,"A,1",1,35.80856,10.83675
47,HD 148284,5572,60,1.8,0.24,3.97,0.05,0.16,0.05,1.11,0.12,9.88,0.16,8.0,9.0,"A,1",1,246.45173,30.26513
48,HD 14855,5023,60,3.43,0.48,3.43,0.05,0.03,0.05,1.17,0.21,9.81,0.26,11.8,7.4,"A,1",1,36.2656,45.64734
49,HD 149750,5802,60,1.45,0.18,4.14,0.05,0.19,0.05,1.09,0.1,9.85,0.14,11.5,8.6,"A,1",1,248.81101,37.02213
50,HD 1502,4947,60,4.91,0.61,3.18,0.05,0.1,0.05,1.33,0.18,9.64,0.19,6.0,8.3,"A,2",1,4.82111,14.05475
51,HD 150706,5949,60,1.0,0.05,4.53,0.05,0.02,0.05,1.06,0.04,9.19,0.24,35.4,7.0,"A,1",1,247.82326,79.78978
52,HD 152581,5027,60,3.71,0.41,3.29,0.05,-0.21,0.05,0.94,0.06,10.06,0.11,6.0,8.3,"A,1",1,253.43159,11.97375
53,HD 152733,4835,60,5.26,0.69,3.1,0.05,0.16,0.05,1.3,0.18,9.69,0.21,6.1,8.1,"A,1",1,253.23839,44.4024
54,HD 15336,5025,60,4.56,0.57,3.12,0.05,-0.16,0.05,1.0,0.12,9.97,0.17,2.9,8.9,"A,1",1,36.93719,-11.97903
55,HD 153525,4826,60,0.74,0.03,4.54,0.05,0.03,0.05,0.78,0.04,9.83,0.51,55.7,7.9,"A,1",0,254.42595,47.36214
56,HD 155413,5740,60,2.47,0.28,3.79,0.05,0.27,0.05,1.42,0.11,9.55,0.11,11.6,7.3,"A,1",1,257.99431,-14.62038
57,HD 155456,5225,60,0.91,0.07,4.43,0.05,0.26,0.05,0.88,0.04,10.02,0.33,28.3,8.3,"A,1",1,257.65671,24.53244
58,HD 155712,4911,60,0.75,0.04,4.52,0.05,-0.07,0.05,0.77,0.04,9.91,0.49,48.7,8.0,"A,2",1,258.15676,18.3512
59,HD 156846,5999,60,1.88,0.23,4.01,0.05,0.24,0.05,1.35,0.12,9.56,0.11,21.1,6.5,"A,1",1,260.14296,-19.33375
60,HD 161479,5642,60,1.15,0.12,4.31,0.05,0.28,0.05,1.03,0.06,9.86,0.17,20.4,8.1,"A,1",1,266.2622,19.29046
61,HD 162232,5492,60,1.03,0.1,4.36,0.05,0.14,0.05,0.92,0.04,10.04,0.16,13.4,8.6,"A,2",1,267.48773,0.51203
62,HD 164922,5341,60,0.95,0.08,4.39,0.05,0.15,0.05,0.88,0.04,10.07,0.18,45.4,7.0,"A,1",1,270.62859,26.313
63,HD 168443,5551,60,1.48,0.18,4.07,0.05,0.04,0.05,0.98,0.06,10.05,0.1,26.4,6.9,"A,2",1,275.01638,-9.59572
64,HD 170657,5041,60,0.76,0.04,4.54,0.05,-0.12,0.05,0.79,0.04,9.81,0.5,76.2,6.8,"A,1",1,277.829,-18.90881
65,HD 17156,5970,60,1.51,0.18,4.15,0.05,0.22,0.05,1.19,0.09,9.67,0.11,30.3,8.2,"A,1",1,42.43536,71.75323
66,HD 172051,5636,60,0.83,0.04,4.58,0.05,-0.26,0.05,0.89,0.04,9.34,0.37,77.0,5.9,"A,2",1,279.7225,-21.05187
67,HD 175425,5773,60,1.27,0.13,4.23,0.05,0.12,0.05,1.03,0.05,9.9,0.11,13.2,7.9,"A,1",1,283.4088,37.98525
68,HD 17620,5159,60,3.04,0.4,3.46,0.05,-0.08,0.05,0.96,0.15,10.03,0.2,7.3,8.2,"A,1",1,42.23243,-24.6098
69,HD 179079,5646,60,1.7,0.22,4.02,0.05,0.23,0.05,1.12,0.11,9.87,0.15,14.1,8.0,"A,1",1,287.79095,-2.63838
70,HD 181234,5314,60,1.04,0.1,4.35,0.05,0.35,0.05,0.92,0.04,10.08,0.14,20.8,8.6,"A,1",1,290.00041,-9.3236
71,HD 18143,5101,60,0.88,0.06,4.43,0.05,0.27,0.05,0.86,0.04,10.06,0.29,44.3,7.6,"A,1",1,43.91274,26.87321
72,HD 18445,4838,60,0.76,0.03,4.44,0.05,-0.04,0.05,0.76,0.03,10.09,0.3,38.9,7.9,"A,2",1,44.30494,-24.97512
73,HD 18742,4941,60,5.05,0.81,3.09,0.05,-0.02,0.05,1.2,0.26,9.75,0.3,6.2,7.8,"A,1",1,45.0444,-20.8026
74,HD 189733,5024,60,0.79,0.04,4.51,0.05,0.07,0.05,0.82,0.04,9.89,0.49,50.4,7.6,"A,1",1,300.18214,22.71085
75,HD 190228,5238,60,2.15,0.23,3.72,0.05,-0.22,0.05,0.9,0.05,10.08,0.08,15.8,7.3,"A,1",1,300.75322,28.30686
76,HD 190571,4999,60,3.6,0.39,3.31,0.05,-0.22,0.05,0.92,0.05,10.08,0.1,9.8,7.5,"A,1",1,301.0982,33.55049
77,HD 193690,5542,60,0.98,0.09,4.41,0.05,0.2,0.05,0.96,0.05,9.83,0.37,14.3,9.4,"A,1",1,305.6306,-26.15989
78,HD 195034,5810,60,0.96,0.06,4.48,0.05,0.0,0.05,1.02,0.04,9.39,0.35,35.7,7.1,"A,1",1,307.04923,22.12899
79,HD 196124,4833,60,0.74,0.03,4.5,0.05,-0.06,0.05,0.76,0.04,9.98,0.47,33.3,8.9,"A,1",1,308.80294,6.12701
80,HD 199255,5027,60,3.74,0.57,3.29,0.05,-0.05,0.05,0.97,0.21,10.02,0.28,8.5,7.3,"A,2",1,313.94606,7.66625
81,HD 199381,4844,60,4.61,0.62,3.19,0.05,0.17,0.05,1.21,0.18,9.78,0.21,13.6,6.9,"A,1",1,314.19771,1.71518
82,HD 200964,4983,60,4.05,0.59,3.22,0.05,-0.07,0.05,0.96,0.2,10.03,0.27,13.9,6.5,"A,1",1,316.66601,3.80312
83,HD 201924,5401,60,0.89,0.07,4.47,0.05,0.05,0.05,0.9,0.04,9.84,0.45,31.9,7.8,"A,1",1,317.79523,45.45591
84,HD 202575,4730,60,0.73,0.03,4.5,0.05,-0.02,0.05,0.75,0.03,9.96,0.47,61.8,7.9,"A,1",1,319.13528,9.39383
85,HD 203471,5425,60,2.34,0.31,3.72,0.05,-0.02,0.05,1.02,0.18,9.94,0.22,7.7,8.3,"A,1",1,320.3933,28.56468
86,HD 203473,5781,60,1.52,0.2,4.11,0.05,0.19,0.05,1.1,0.11,9.86,0.14,13.2,8.2,"A,1",1,320.57864,5.02359
87,HD 20367,6094,60,1.1,0.07,4.46,0.05,0.17,0.05,1.14,0.04,9.18,0.22,37.8,6.4,"A,1",1,49.41686,31.12704
88,HD 206635,4944,60,2.41,0.24,3.65,0.05,-0.18,0.05,0.87,0.06,10.16,0.04,11.0,8.3,"A,1",1,325.85558,1.80091
89,HD 207077,5068,60,3.65,0.39,3.27,0.05,-0.31,0.05,0.92,0.07,10.05,0.11,5.9,8.3,"A,2",1,326.68353,-8.00718
90,HD 208313,5016,60,0.78,0.04,4.51,0.05,0.02,0.05,0.81,0.04,9.87,0.49,48.8,7.8,"A,1",1,328.68766,32.32857
91,HD 209393,5651,60,0.86,0.04,4.57,0.05,-0.14,0.05,0.93,0.04,9.31,0.34,29.4,7.9,"A,1",1,330.52246,44.34317
92,HD 210373,4876,60,5.06,0.6,3.15,0.05,0.21,0.05,1.34,0.16,9.64,0.17,7.2,7.5,"A,1",1,332.41456,22.2422
93,HD 211681,5710,60,1.59,0.2,4.1,0.05,0.35,0.05,1.18,0.11,9.77,0.13,14.2,8.1,"A,1",1,331.70452,85.40937
94,HD 215049,5109,60,2.65,0.35,3.63,0.05,0.06,0.05,1.12,0.16,9.89,0.23,9.3,8.3,"A,1",1,340.71769,-27.88689
95,HD 216834,5058,60,3.17,0.35,3.4,0.05,-0.23,0.05,0.91,0.06,10.09,0.09,7.7,8.1,"A,1",1,344.08518,-6.54584
96,HD 217681,4954,60,3.36,0.42,3.45,0.05,0.24,0.05,1.2,0.16,9.81,0.19,10.7,7.8,"A,1",1,345.63289,-11.26569
97,HD 21774,5692,60,1.23,0.13,4.25,0.05,0.2,0.05,1.02,0.06,9.93,0.13,18.7,8.2,"A,1",1,52.81426,20.76808
98,HD 220339,4954,60,0.71,0.04,4.56,0.05,-0.24,0.05,0.75,0.04,9.79,0.52,52.4,7.8,"A,1",1,350.7704,-10.76424
99,HD 221504,5334,60,2.36,0.28,3.76,0.05,0.29,0.05,1.23,0.12,9.76,0.14,11.8,8.1,"A,1",1,353.21108,-21.68769
100,HD 221822,5420,60,0.76,0.04,4.57,0.05,-0.37,0.05,0.81,0.04,9.59,0.48,25.8,8.4,"A,2",1,353.84642,2.22533
101,HD 222038,5629,60,1.22,0.13,4.25,0.05,0.22,0.05,1.0,0.06,9.98,0.12,16.3,8.4,"A,2",1,354.32251,-1.51988
102,HD 222986,5859,60,1.04,0.07,4.47,0.05,0.26,0.05,1.09,0.05,9.26,0.29,14.7,8.8,"A,1",1,356.39592,40.4435
103,HD 224619,5454,60,0.84,0.06,4.49,0.05,-0.17,0.05,0.86,0.05,9.78,0.46,28.7,7.5,"A,1",1,359.86847,-20.03471
104,HD 22657,4792,60,4.91,0.68,3.11,0.05,0.07,0.05,1.14,0.2,9.86,0.26,7.8,7.8,"A,1",1,54.58527,-11.20146
105,HD 234314,5566,60,1.47,0.18,4.09,0.05,0.14,0.05,1.0,0.06,10.03,0.1,14.2,9.3,"A,1",1,248.13215,50.18425
106,HD 23825,5588,60,2.48,0.3,3.74,0.05,0.14,0.05,1.33,0.13,9.62,0.13,9.1,7.9,"A,1",1,57.0914,10.79306
107,HD 238433,4936,60,4.91,0.73,3.13,0.05,0.0,0.05,1.24,0.26,9.7,0.29,5.1,8.4,"A,1",1,228.40824,57.19163
108,HD 24238,4951,60,0.67,0.03,4.54,0.05,-0.45,0.05,0.69,0.03,9.96,0.48,47.8,7.8,"A,1",1,58.76601,61.16681
109,HD 24892,5341,60,1.63,0.17,3.96,0.05,-0.3,0.05,0.89,0.05,10.08,0.09,24.6,6.9,"A,1",1,59.11945,-25.18134
110,HD 26007,4778,60,6.5,0.97,2.81,0.05,-0.13,0.05,0.98,0.21,10.0,0.27,3.9,8.4,"A,1",1,61.54759,-23.27981
111,HD 26161,6033,60,1.47,0.16,4.15,0.05,-0.01,0.05,1.14,0.06,9.72,0.1,24.7,6.9,"A,1",1,62.4119,31.65213
